stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,73.6,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,10,3,2,0,2,3,0,0,0,2,5,0,0,3,28,2,0,0,0,0,0,0,5,1,8,12,0,0,0
 24-34,0,0,0,0,0,0.82,8.21,0,0,0,0,0,0,0.82,2.46,0,0,3.28,34.48,0,0,0,0,0.82,0.82,0,0,0,1.64,9.03,0,4.93,0
 36-46,0,0,0,0,0,0.81,3.22,0.81,4.83,0,0.81,0,0,1.61,8.06,0,0,4.83,23.36,0,0,0,0,0,0.81,0,0,0,0,2.42,0,3.22,0
 48-58,0,0,0,0,0,0,2.87,1.72,4.02,0,0,0,0,0,8.03,0,0,0,15.49,0,0,0.57,0,0,0,0,0,0,0.57,3.44,0,0.57,0
 60-70,0,0,0,0,0,0,4.91,0,13.74,0,0.98,0,0,0,20.61,0,0.98,1.96,5.89,0.98,0,0,0,0.98,0,0,0,0,0,5.89,0,1.96,0
 72-82,0,0,0.98,0,1.96,0,19.63,2.94,22.58,0,0.98,0,0,0,47.12,0.98,2.94,4.91,13.74,0,0.98,0,0,0,0,0.98,0,0,0,2.94,0,1.96,0
 84-94,0,0,0,0,0,0,8.5,0,3.19,0,2.12,1.06,0,0,20.18,0,3.19,4.25,5.31,0,1.06,0,0,0,0,0,0,1.06,0,2.12,0,4.25,0
 96-106,0,0,0,0,1.09,0,6.56,1.09,7.65,0,1.09,2.19,2.19,0,30.6,0,2.19,1.09,16.39,0,1.09,0,0,0,1.09,0,0,0,0,0,0,4.37,1.09
108-118,0,0,0,0,0,0,6.89,0.77,12.26,0,0.77,0.77,0.77,0,30.64,0,0,3.06,6.89,1.53,0,0,0,0,1.53,0,0,0,0,2.3,0.77,2.3,0.77
120,0,0,0,0,0,0,0,1.96,15.68,0,0,1.96,3.92,0,13.72,0,1.96,1.96,11.76,1.96,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0
