stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,1,7,0,0,0,0
 24-34,0.82,0.82,0,2.46,0,0,0.82,0,0,0.82,2.46,0,0,69.77,0,0,0,0,0,0.82,22.16,0,0,0.82,0
 36-46,0,0,0,4.03,0,0,0.81,0,0,0,1.61,0,1.61,107.15,0,0.81,0,0,0,0,22.56,0,0,0,0.81
 48-58,0,0,0.57,21.8,0,0,4.02,0,0,0,6.31,0,0,103.86,0.57,0,0,0,0,0,21.8,0,0,0,0
 60-70,0.98,0.98,0,43.19,0.98,0,2.94,0,0,0,6.87,0,0,132.51,0.98,0,0,0,0,0,26.5,0,0,0,0.98
 72-82,0,0.98,0,42.21,0,0,3.93,0,0.98,0,10.8,1.96,0.98,80.5,0,0,0,0,0,0,6.87,0,0,0.98,0
 84-94,0,0,0,42.48,0,0,4.25,0,0,0,8.5,0,0,41.42,2.12,0,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,16.39,0,0,1.09,1.09,0,0,5.46,2.19,0,30.6,0,1.09,0,0,0,0,4.37,1.09,0,1.09,0
108-118,0,2.3,0,21.45,0,0.77,3.83,0,0,0,5.36,0,0.77,54.38,1.53,0,0,0,0,0,1.53,0,0,1.53,0
120,0,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0,35.28,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0
