stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,6.29,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,3,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,64.03,0,0,0,0,0.82,0,0,13.13,0,0,0,0
 36-46,0,0,0,0.81,8.86,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0,207.86,0,2.42,0,0,0,0,0,21.75,0,0,0,0.81
 48-58,0,0,0,0,53.94,0,0,4.59,0,0,0,0,0.57,0.57,3.44,0,0,0,276,0.57,0,0,0,0,0,0,25.82,0,0,0,0
 60-70,0,0,0.98,0,241.45,0,1.96,5.89,0,0,0,0.98,0,0,3.93,0.98,0,0,614.43,0,2.94,0,0,0.98,0,0,38.28,0,0.98,0,0
 72-82,0,0,0.98,0,182.59,0,0,7.85,1.96,0,0,0,0,0,7.85,0,0,0.98,501.63,0,0.98,0,0,2.94,0,0,19.63,0,0,0.98,0
 84-94,0,0,3.19,0,91.34,0,0,8.5,0,0,0,0,0,0,2.12,0,0,0,195.41,0,0,0,0,2.12,0,0,5.31,0,0,0,0
 96-106,0,0,3.28,1.09,51.36,0,0,4.37,1.09,0,0,0,0,0,2.19,0,1.09,0,150.81,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0
108-118,0,0,1.53,0,60.51,0.77,0,3.83,0.77,0,0,0,0,0,1.53,0,0,0,173.87,0,0,0,0,2.3,0,0,5.36,0.77,0,0.77,0
120,0,0,3.92,1.96,58.79,1.96,0,0,0,0,3.92,0,0,0,7.84,0,0,0,156.78,0,1.96,1.96,0,0,0,0,3.92,0,0,0,0
