stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,74,2,3,0,0,0,1,54,0,0,0,0,0
 24-34,7.39,0,2.46,0,3.28,0,0,0,4.1,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,454.75,0.82,10.67,0,1.64,0,0,137.08,0,0,0,0,0
 36-46,5.64,0,0,0,16.11,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,1.61,878.99,0,15.31,0.81,0.81,0,0,173.22,0,0,0,0,0
 48-58,4.59,0,2.3,0,83.78,0,1.15,1.15,2.87,0,0,0.57,0,0,0,0.57,1.15,9.18,0,1.15,2.3,1012.19,1.15,8.61,0.57,1.15,0.57,0,187.06,0,0,0.57,0,1.15
 60-70,0,0,0,0,214.95,0.98,0.98,0,20.61,0,0,0,0.98,1.96,0.98,0,0,8.83,0,0.98,0,1455.6,0,7.85,0,2.94,0,0,171.77,0,0,1.96,0,0.98
 72-82,11.78,0,6.87,2.94,337.69,0.98,0.98,0.98,26.5,0,0,0,0.98,0,0.98,0.98,0.98,29.45,0,0,0.98,1311.5,0,20.61,0,0.98,0.98,0,97.18,0,0,1.96,0.98,0.98
 84-94,8.5,0,8.5,2.12,203.91,0,0,1.06,28.68,2.12,0,1.06,0,3.19,1.06,1.06,1.06,22.3,0,1.06,2.12,629.79,2.12,11.68,2.12,5.31,0,0,47.79,0,1.06,1.06,1.06,1.06
 96-106,10.93,0,7.65,3.28,178.13,1.09,0,2.19,18.58,2.19,0,1.09,1.09,3.28,1.09,1.09,0,15.3,0,0,3.28,531.12,1.09,14.21,1.09,1.09,0,0,31.69,0,1.09,1.09,0,0
108-118,9.19,0,6.89,0.77,136.34,0,1.53,1.53,19.15,0.77,0,1.53,0,6.13,0,0.77,0,16.85,0,0.77,0.77,606.64,0,9.96,1.53,3.06,0.77,0,16.09,0,0,2.3,0,0
120,3.92,0,3.92,1.96,150.9,3.92,1.96,0,13.72,0,0,0,0,7.84,0,3.92,0,9.8,1.96,0,3.92,685.92,0,7.84,0,1.96,1.96,0,17.64,3.92,0,0,1.96,0
