stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,44.06,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,6,17,47,3,0,0,16,1,2,1,42,0,0,0,0,15,0,0,4,132,0,8,1,0,0,1,1,1,137,0,0,64,0,0
 24-34,0,0,3.28,0,21.34,4.93,29.55,1.64,0,10.67,0,10.67,0.82,14.78,1.64,0,0,0,37.76,0,0,3.28,600.05,0,26.27,5.75,0,0.82,2.46,0.82,0,256.93,0,0,228.2,0,0.82
 36-46,0,0,0.81,0,4.83,1.61,166.77,0,0,3.22,0,12.09,0,1.61,0.81,0.81,0,0.81,59.62,0,0,3.22,799.22,0,17.72,1.61,0,0.81,0.81,0.81,0,244.92,0,0,161.94,0,0.81
 48-58,0,0,0,0,6.89,0.57,207.72,1.15,1.15,8.03,0,9.75,0,5.16,1.15,1.72,0.57,0.57,83.78,0,2.3,2.3,858.99,1.15,6.89,6.89,0,1.15,1.15,0,0,172.72,0,1.15,105.01,0,1.15
 60-70,0,0,5.89,0,6.87,1.96,196.3,0,4.91,9.82,7.85,13.74,0,7.85,0.98,2.94,0.98,0,159.99,2.94,2.94,1.96,767.55,0.98,1.96,13.74,0,1.96,1.96,1.96,0,111.89,0.98,6.87,106.99,0,0
 72-82,0,0,39.27,0,19.63,0.98,153.14,0,3.93,22.58,24.54,11.78,1.96,21.6,3.93,5.89,0,0,257.2,0,2.94,7.85,694.03,0,6.87,23.56,0,0,6.87,1.96,0,116.82,4.91,6.87,229.71,9.82,0
 84-94,0,0,33.99,0,24.43,1.06,141.25,0,4.25,19.12,30.8,4.25,0,30.8,0,3.19,0,0,194.35,1.06,4.25,4.25,390.83,0,7.43,29.74,0,0,11.68,1.06,0,59.47,8.5,7.43,182.67,3.19,0
 96-106,0,0,32.79,1.09,34.97,5.46,130.05,1.09,8.74,17.49,41.53,26.23,1.09,31.69,0,25.14,0,0,159.56,0,3.28,6.56,324.58,0,10.93,45.9,0,1.09,12.02,1.09,0,33.88,22.95,9.84,245.89,2.19,0
108-118,0.77,0,16.85,0,23.74,2.3,88.85,4.6,2.3,15.32,21.45,13.02,3.83,23.74,2.3,12.26,0.77,0,166.98,1.53,2.3,2.3,353.87,0,8.43,37.53,0,2.3,12.26,1.53,0,20.68,28.34,6.89,208.34,4.6,0
120,0,0,21.56,0,25.48,1.96,139.14,0,3.92,19.6,37.24,11.76,0,21.56,0,5.88,0,0,143.06,0,0,3.92,388.04,3.92,5.88,35.28,0,0,15.68,0,0,15.68,9.8,3.92,207.74,0,1.96
