stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,11,1,1,1,0,0,3,0,10,4,1,0,0,2,0
 24-34,0,0,0.82,0.82,0,5.75,0,0.82,0,0,0,0,0.82,1.64,0,3.28,0,3.28,34.48,0,0,0,0,0,0,0.82,3.28,0.82,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,12.09,0,0,0,0.81,0,0,0,0,0.81,3.22,0.81,0.81,7.25,0,0,0,0,0,0,0,0.81,0,2.42,0,0,1.61,0
 48-58,0,0,0,0,0,9.75,0,0,0.57,0,0,0,0,0,0,3.44,0,0.57,5.74,0,0,0,0.57,0,0,0,0.57,0,1.72,0,0,0.57,0
 60-70,0,0,0,0.98,0,21.59,0,0,0,0.98,0,0,0,1.96,0,4.91,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,7.85,0,0,0,2.94,0,0,0,1.96,0,3.93,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,9.56,0,0,0,0,1.06,0,0,1.06,0,5.31,0,1.06,3.19,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,6.56,1.09,0,0,0,1.09,0,0,6.56,0,6.56,0,2.19,1.09,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,2.3,6.89,0.77,0,0,0.77,0,0,0,1.53,0,5.36,0,0,3.06,0.77,2.3,0,0,0,0,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,0,3.92,5.88,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0
