stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,15.73,0,0,12.59,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,103,0,0,68,37,6,0,0,1,0,1,0,1,0,0,4,106,0,0,0,0,0
 24-34,0,0,0.82,1.64,1.64,0,0.82,0,2.46,8.21,0.82,0,0,0,0,0,0,0,1.64,252.82,0,0,119.84,49.25,0,0,0,0,0.82,5.75,0,0,0,0,4.1,41.04,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,4.03,0,0.81,28.2,3.22,0,3.22,1.61,0,0.81,0,0,0,261.04,0,4.03,78.15,42.7,0,0,1.61,0,0,4.83,0.81,0,0,0,0,32.23,0,0.81,4.03,0.81,0
 48-58,0,0,0,1.15,0.57,0,14.92,0,0.57,35.58,2.87,0,0,0.57,0,0,0,0,0.57,416.01,0.57,16.64,70,56.81,0,0.57,0,0,0.57,3.44,0,0,0,0,0,21.23,0,6.31,2.3,0.57,2.3
 60-70,0,0,0,1.96,0,0,32.39,0,3.93,32.39,53,0,0.98,0.98,0,0,0,0,0,607.56,0,38.28,59.87,50.06,0,0,0,0,18.65,2.94,0,0,0,0.98,0,9.82,0,18.65,2.94,10.8,1.96
 72-82,0,0,0,8.83,0,0,64.79,0.98,3.93,44.17,120.74,0,3.93,0,0,0,0,0.98,0,996.39,0,59.88,78.53,71.66,0.98,0.98,1.96,0,26.5,7.85,0,0,0,1.96,0,17.67,0,57.92,4.91,36.32,3.93
 84-94,0,0,0,9.56,2.12,0,80.71,1.06,3.19,35.05,78.59,0,4.25,4.25,2.12,1.06,0,1.06,0,639.35,0,54.16,40.36,31.86,0,2.12,2.12,0,21.24,7.43,0,0,0,0,0,6.37,0,32.92,2.12,31.86,5.31
 96-106,0,0,0,12.02,2.19,1.09,55.74,1.09,1.09,22.95,110.38,2.19,5.46,7.65,0,0,2.19,1.09,0,658.99,1.09,46.99,37.16,76.5,0,2.19,4.37,0,59.01,12.02,0,0,1.09,0,0,4.37,0,32.79,1.09,39.34,4.37
108-118,0,0.77,0,6.89,0.77,0,27.57,0.77,2.3,30.64,78.89,0,3.06,6.13,0,2.3,0,0,0,560.68,0.77,33.7,29.87,56.68,0,0,0,0,63.57,4.6,0,0,0,0,0,3.83,0.77,19.92,1.53,28.34,3.06
120,0,0,0,17.64,0,1.96,21.56,0,1.96,25.48,84.27,0,5.88,5.88,0,0,0,3.92,0,495.83,0,41.16,39.2,47.03,0,0,0,1.96,60.75,13.72,0,0,0,1.96,0,1.96,3.92,29.4,0,33.32,1.96
