stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,50,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,161,0,0,0,0,0,0,0,1,1,18,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,1.64,0,0,22.16,0,0,0,0,0.82,0.82,0,21.34,3.28,0,0,0.82,50.89,0.82,0,0,0,0,0.82,0,0,0,60.74,0,0,1.64,0,19.7
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,26.59,0,0,0,0,0,1.61,0,32.23,0.81,0,0,0,31.42,0,0.81,0,0,0,0.81,0,0,0,47.53,0,0,0.81,0,16.92
 48-58,0,0,0,0,0.57,0,0,11.48,0.57,0,66.56,0,0,0,0,0,13.77,0,21.8,2.87,0,0,0,24.67,0.57,0,0,0,0,0,0,0,0,76.89,0,0,0.57,0,14.92
 60-70,0,0,0,0,0,0,0,18.65,0,0.98,146.25,0.98,0,0,0,0,28.46,0,0,9.82,0,0,0.98,23.56,0,0,0,0,0.98,0.98,0,0,0,53,0,0,0,0,6.87
 72-82,0,0,0.98,0,1.96,0.98,0,64.79,0,0.98,351.43,0,0,0.98,0,0,29.45,0,0.98,17.67,0,0.98,0.98,46.14,0,0,1.96,0,0,0.98,0,0,0,53.99,0.98,0.98,1.96,0,1.96
 84-94,0,0,0,0,5.31,0,0,46.73,1.06,0,250.64,2.12,0,1.06,0,0,13.81,0,1.06,16.99,0,0,1.06,31.86,0,0,0,0,0,0,0,0,0,57.35,0,0,1.06,0,9.56
 96-106,0,0,0,0,10.93,1.09,0,43.71,2.19,0,335.5,2.19,0,0,1.09,0,2.19,0,0,10.93,0,0,2.19,33.88,0,1.09,1.09,0,0,2.19,1.09,1.09,0,81.96,1.09,0,1.09,2.19,3.28
108-118,0,0,0,0,3.06,1.53,0,26.81,3.06,0.77,360.77,0,0,0,0,0.77,2.3,1.53,2.3,7.66,0,0,2.3,35.23,0,0,0,0,0,0.77,0.77,0,0,42.89,0.77,0,0.77,0,2.3
120,0,0,0,0,1.96,5.88,1.96,25.48,0,0,384.12,1.96,0,0,0,0,1.96,0,0,5.88,1.96,0,0,50.95,0,0,0,0,0,1.96,0,0,0,60.75,0,0,0,1.96,0
