stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,28.92,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,12.31,0,0.82,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,6.45,0,0,0,0.81,0,1.61,0,0,0
 48-58,0,0,0,0,0,17.79,0,0,1.15,0,0,0.57,0,0,0.57,0,6.89,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,60.85,0,0,0.98,0,0,0,0,0,0.98,0,10.8,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,42.21,0.98,0,1.96,0,0.98,0,0,6.87,0,0,8.83,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,30.8,0,0,2.12,0,0,0,0,3.19,0,0,6.37,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,28.41,0,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,40.6,0,0.77,1.53,0,0,0,0.77,2.3,0,0,7.66,0,0,0,0,0,1.53,0,0.77,0
120,0,0,0,1.96,0,29.4,0,0,5.88,0,0,0,0,3.92,0,0,9.8,1.96,0,0,0,0,0,1.96,0,0
