stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,331,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,15.77,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,302.3,5.26,0,0,186.64,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,9.44,0,3.15,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,597.92,3.15,0,0,232.88,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,2,1,10,1304,115,41,0,1,0,19,8,4,1,0,33,1,1,9,59,1,0,100,1917,17,6,80,151,0,335,666,27,92,976,800,0,1,0,4
 24-34,0,0,0,0,45.97,0,6.57,0,0.82,0,4.1,0,0,0,0,1.64,0,4.93,1.64,14.78,0.82,0,6.57,413.71,0,11.49,0.82,0,0,233.12,0,0,7.39,9.03,49.25,0,1.64,0,3.28
 36-46,0,0,0,0,5.64,0,4.03,0,0,0.81,1.61,0,0,0,0,0,0,0,0,4.03,1.61,0,1.61,108.77,0,7.25,0,0,0,79.76,0,0,0.81,0,13.7,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0,2.87,0.57,0,0,5.16,0,0,0,0.57,0,0,0,0,2.87,0,0,1.15,56.23,0,2.3,0,0,0,20.08,0,0,0,0,8.61,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,2.94,0,0,0,1.96,0.98,0,0,0,0,0,0,0,5.89,0,1.96,1.96,20.61,0,0,0,0,0,14.72,0,0,0.98,0,2.94,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,6.87,0.98,0,0,4.91,3.93,0,0,0,0,0,0,0.98,21.6,0,0,2.94,18.65,0,1.96,0,0,0,15.71,0,0,0,0,0.98,1.96,5.89,0,0.98
 84-94,0,0,0,0,4.25,0,3.19,0,1.06,2.12,1.06,2.12,0,0,0,1.06,0,0,0,8.5,0,1.06,1.06,4.25,0,1.06,1.06,0,0,52.04,0,0,0,0,0,0,5.31,0,0
 96-106,0,0,0,0,2.19,0,7.65,0,0,0,0,4.37,0,0,0,0,1.09,0,0,3.28,1.09,0,1.09,6.56,0,1.09,1.09,0,1.09,14.21,0,0,0,0,0,0,3.28,0,0
108-118,0.77,0,0,0,0.77,0,0.77,0,0,0,0.77,3.06,0,0,0.77,0,0.77,0,0,9.19,0,0.77,0,6.13,0,0,1.53,0,0.77,8.43,0,0,0,0,0,0,3.06,0,0
120,0,0,0,0,0,1.96,3.92,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,9.8,0,0,0,0,0,0,1.96,0,0
