stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,0,1,0,30,0,0,0,44,0,12,16,0,0,1,0,0,4,0,1,6,0,1,0,0
 24-34,0.82,0.82,1.64,0,0,0,21.34,0.82,0,0.82,11.49,0,4.1,13.95,0,0,0,0,1.64,0,0.82,0,2.46,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,19.34,0,0,0,1.61,0.81,0.81,6.45,0.81,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,4.59,0,0.57,0,9.18,0,0.57,0.57,4.59,0.57,0.57,11.48,0,0,0,0,0.57,0,0,0,2.87,0.57,0,0,0
 60-70,0.98,0,2.94,0,0,0,7.85,0,0,0,0.98,0,0,11.78,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0
 72-82,0.98,0,1.96,0,0.98,0,1.96,0,0,0,0.98,0,0,4.91,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,1.06,0,2.12,0,0,0,4.25,0,0,0,3.19,0,0,4.25,0,0,0,0,3.19,0,0,0,0,2.12,1.06,0,0
 96-106,3.28,2.19,4.37,0,1.09,3.28,9.84,0,0,1.09,5.46,0,0,12.02,0,1.09,0,0,7.65,0,0,0,1.09,0,0,1.09,0
108-118,1.53,0.77,1.53,0,1.53,0,9.19,0,0.77,0.77,1.53,0,0.77,6.89,0.77,0,0,0,1.53,0,0,0,0,0,0,0,0.77
120,1.96,0,5.88,1.96,0,0,3.92,0,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
