stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,24.52,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,115,4,0,3,0,0,0,2,1,0,0,4,0,0,0,3,0,0,0,0,10,164,0,0,1,4,0,2,0,0,9,0,0
 24-34,0,0,0,0.82,134.62,0.82,0,9.85,0,5.75,0,0.82,0,0,0,14.78,0,0.82,0.82,3.28,4.1,3.28,0.82,0.82,32.01,9.03,0.82,0.82,0,19.7,0,0,1.64,1.64,4.93,3.28,0
 36-46,0,0,0,0,43.51,0,0,4.83,0.81,6.45,0,0,0,0,0,18.53,0.81,2.42,0,0,8.86,1.61,0,0,33.84,2.42,0,0,0,20.14,0,0,0,0,4.03,2.42,0
 48-58,0,0,0,0,18.94,0,0,14.92,0,8.03,0.57,2.3,0,0.57,0,18.94,0.57,1.72,0,0,8.03,5.16,0,2.87,36.72,0.57,0,0,0,11.48,0.57,0,0.57,0,10.9,0.57,2.3
 60-70,0,0,0,0,24.54,0,0,23.56,0,15.7,0,3.93,0,0,0,27.48,0.98,2.94,0.98,1.96,2.94,5.89,0.98,0.98,25.52,0,0,0,0,27.48,0,0,0.98,0,4.91,0.98,1.96
 72-82,0,0,0.98,0,16.69,0,0,24.54,0,7.85,0.98,6.87,2.94,0,0,38.28,3.93,6.87,0,0,1.96,6.87,1.96,0,24.54,0.98,0.98,0.98,0,24.54,0,0,0.98,0,2.94,1.96,0
 84-94,0,0,0,1.06,46.73,0,0,41.42,0,21.24,2.12,6.37,2.12,0,0,71.16,3.19,10.62,0,2.12,5.31,6.37,0,1.06,12.74,0,0,0,0,65.85,0,0,3.19,0,3.19,3.19,0
 96-106,0,0,2.19,1.09,31.69,0,0,44.81,0,9.84,0,5.46,8.74,0,0,65.57,0,17.49,1.09,3.28,5.46,3.28,0,3.28,12.02,0,3.28,0,0,72.13,0,0,0,0,0,1.09,0
108-118,0,0,0,0,40.6,0,0.77,39.83,0,28.34,0.77,9.96,4.6,0,0.77,45.96,3.83,19.15,0,5.36,7.66,3.83,0.77,0,7.66,0.77,1.53,0.77,0,40.6,0,0,0,0,0,0,1.53
120,0,0,0,0,33.32,0,0,9.8,0,13.72,0,9.8,5.88,0,0,88.19,1.96,7.84,0,5.88,1.96,0,1.96,1.96,13.72,0,1.96,1.96,0,54.87,0,0,1.96,0,3.92,3.92,0
