stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,47.11,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,150.19,0,0,1.96,0,0,0.98,11.78,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,127.44,0,1.06,2.12,0,0,3.19,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,156.28,0,0,1.09,0,0,1.09,4.37,0,0,0,0,4.37,0,0,0,0
108-118,0,1.53,1.53,160.85,0.77,0,0.77,0.77,0.77,0.77,5.36,0.77,0.77,0,0,2.3,0,0.77,0.77,0.77
120,0,1.96,0,129.35,0,0,0,0,0,0,17.64,0,0,1.96,0,0,0,0,0,0
