stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,16,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,1,9,1,0,0,0,724,1,1,3,8,0,1,0,0
 24-34,0,0,19.7,1.64,0,8.21,0,1.64,0.82,1.64,0.82,0,0,0,8.21,0,0,0,0.82,4.1,12.31,0,4.93,57.46,0.82,1.64,0,0,878.32,0,0,0.82,9.85,0,1.64,0,0
 36-46,0,0,11.28,0,0,9.67,0,4.83,0,4.03,0,0,0.81,0.81,4.03,0,0,0,0.81,4.83,13.7,0,1.61,45.92,0.81,0,0,0,940.22,0,0,0,11.28,0,0.81,0,0.81
 48-58,0,0,20.08,0,0,6.31,0,11.48,0,3.44,0,0,0,0,0,0,0,0,0,4.02,3.44,0,1.15,28.69,0,0,0,0,475.11,0,0,0,9.75,0,0.57,0,0
 60-70,0,0.98,30.43,0,0,14.72,0,8.83,0,3.93,0,0,0,0,4.91,0,0.98,0,0,6.87,2.94,0,0,32.39,0,0,0,0,637.99,0,0,0,5.89,1.96,0,0.98,0
 72-82,0,0,66.75,0,0,10.8,0,5.89,0,3.93,2.94,0,0,0,10.8,0,0.98,0,0,3.93,5.89,0,0,12.76,0,0,0,0,525.19,0,0,0,2.94,0.98,0,0.98,0
 84-94,0,0,152.93,0,0,5.31,0,26.55,1.06,2.12,4.25,0,0,0,26.55,0,0,0,0,6.37,6.37,0,0,5.31,1.06,1.06,1.06,0,1332.86,0,0,0,0,9.56,0,1.06,1.06
 96-106,0,1.09,172.67,1.09,0,13.11,0,53.55,0,5.46,12.02,0,0,1.09,34.97,1.09,1.09,0,0,2.19,21.86,0,0,29.51,1.09,4.37,0,0,1551.84,0,0,0,1.09,4.37,2.19,2.19,0
108-118,0,0,151.66,1.53,0.77,3.83,0.77,58.21,0.77,2.3,15.32,0,0,3.06,45.96,0,1.53,0.77,0,9.96,30.64,0,0,21.45,0,2.3,0.77,0,1099.16,0,0,0,0,5.36,0.77,0.77,0
120,0,0,74.47,1.96,0,3.92,0,43.12,0,0,7.84,0,0,0,11.76,0,1.96,0,0,0,11.76,1.96,0,15.68,0,0,0,0,478.19,0,0,0,0,0,0,3.92,0
