stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0
 84-94,0,0,1.06,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,2.19,3.28,0,3.28,1.09,0,0,0
108-118,0,0.77,0.77,1.53,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0
