stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0,6.57,0,0.82,2.46,0,2.46,0
 36-46,0,0,0,0,0.81,0,0.81,0,1.61,0,0,7.25,0,0,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,1.15,0,0,0,0,4.59,0,0,0,0,0.57,0
 60-70,0,0,0,0,6.87,0.98,0.98,0,0,0,0.98,16.69,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,3.93,0,0.98,0,0.98,0,0,13.74,0,0,0.98,0,1.96,0
 84-94,0,1.06,0,0,3.19,0,0,0,2.12,0,0,4.25,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,1.53,0.77,0,2.3,0,0,0.77,0.77,0,0,3.83,0,0,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,0,0,0,9.8,0,0,0,0,0,0
