stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,4,0,0,1,3,1,3,1,0
 24-34,0,0,0,2.46,0,0,0,1.64,0,9.03,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0.81,9.67,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,0,0,0.57,0.57,4.59,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,1.96,0.98,0.98,0,7.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0.98,0,6.87,0.98,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,0,1.06,1.06,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,2.19,0,0,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0,0.77,0,0.77,0,1.53,0,3.06,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,3.92,0,3.92,0,0,0,0,0,0,0,0
