stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,2.46,0,0,0.82,0,0,0,0,0.82,0,1.64,17.24,0,0,0,0,0,4.93,0,0.82,0,0.82
 36-46,0,0,0.81,3.22,0,0,0.81,0.81,0,0,0,3.22,0,0.81,16.92,0,0,0,0,0,6.45,0,0.81,0,0
 48-58,0,0.57,0,2.87,0,0,2.3,0,0,0,0.57,4.02,0,0.57,13.77,0.57,0,0,0,0.57,5.16,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,0,0,3.93,0,0,14.72,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,2.94,1.96,6.87,0,0,13.74,1.96,0,0,0,22.58,0.98,0.98,52.03,0,0.98,0,0,0,8.83,0,3.93,0.98,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,0,0,4.25,0,3.19,23.36,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,4.37,0,3.28,1.09,0,9.84,0,1.09,16.39,0,1.09,0,1.09,0,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0,0.77,2.3,3.06,0,0.77,0,0,5.36,0.77,0,25.28,0.77,0,0,0,0,1.53,0,0.77,0,0
120,0,0,0,3.92,1.96,3.92,7.84,0,0,0,0,9.8,0,0,21.56,0,0,0,0,0,0,0,3.92,0,0
