stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,2.63,0,0,31.54,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,236.58,10.51,0,0,60.46,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,91.26,0,9.44,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,2,14,4,9,0,0,0,5,0,0,0,0,1,0,0,0,9,0,0,7,168,3,3,1,4,2,1,17,1,9,49,0,0,0,0
 24-34,0,0,0,0.82,13.95,5.75,161.71,0,0,0.82,6.57,0,0,0,0.82,0.82,0,1.64,1.64,80.44,0,0.82,19.7,770.78,1.64,4.1,7.39,0,13.95,0,0,0,2.46,128.05,0,6.57,0,0.82
 36-46,0,0,0,0,13.7,10.47,153.88,0.81,1.61,0,10.47,2.42,0,0,0,0,0.81,0,0.81,33.03,0,1.61,4.83,343.22,0.81,1.61,3.22,0,9.67,0,0,0,0,48.34,0,3.22,0,0
 48-58,0,0,0,0,14.35,3.44,170.99,0,0.57,0,8.61,5.16,0,0,0,0,0.57,1.15,0.57,18.94,1.15,0.57,4.02,171.57,0,1.72,2.3,0,1.72,0,0,0,0,18.94,0,2.3,0,0
 60-70,0,0,0,0,24.54,2.94,159.99,0,2.94,0,11.78,6.87,0,0,0,0,0,2.94,2.94,62.82,0.98,4.91,4.91,131.52,0,0,0.98,0,3.93,0,0,0,0,4.91,0,3.93,0.98,0
 72-82,0,0,0,0.98,8.83,0.98,56.94,0,0,0,8.83,1.96,0,0,0,0.98,0,0.98,0,34.36,0,0.98,1.96,59.88,0,0.98,0.98,0,0.98,0,0,0.98,0,0.98,0,2.94,0,0
 84-94,0,0,0,0,7.43,1.06,41.42,0,0,0,11.68,2.12,0,0,1.06,1.06,0,0,2.12,24.43,1.06,1.06,3.19,24.43,0,0,0,0,1.06,0,0,0,0,1.06,2.12,5.31,1.06,0
 96-106,0,0,1.09,0,2.19,0,16.39,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0,4.37,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0.77,20.68,0,0,0,3.06,0,0,0,0.77,0,0,0.77,0,4.6,0,0,2.3,30.64,0,0,0.77,0,0,0,0,0,0,0,0.77,2.3,0,0
120,0,0,0,0,5.88,5.88,72.51,0,0,1.96,13.72,0,0,0,1.96,0,0,0,1.96,25.48,0,0,9.8,121.51,1.96,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0
