stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,liver,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,44.06,0,6.29,0,0,0,0,0
 14-21,0,4,0,1,0,3,0,0,0,0,1,0,10,0,0,0,0,7,0,0
 24-34,0,5.75,0,0,0,0.82,0,0,0,0,0,0,12.31,0,0,0,0.82,5.75,0,0
 36-46,0,2.42,0,0,0,0,0,0,0,0,1.61,0,20.14,0,0,0,0.81,4.03,0,0
 48-58,0,6.31,0,0,0,2.3,0,0,0,0,2.3,1.15,8.03,0,0,0,0,2.87,0,0
 60-70,0,0.98,0,0,0,7.85,0,0,0.98,0,2.94,5.89,12.76,0,0,0,0,0.98,0.98,2.94
 72-82,0,4.91,0,0,0,8.83,0,2.94,11.78,0,2.94,1.96,3.93,0,0,0.98,0,0,0,3.93
 84-94,0,5.31,0,0,0,3.19,0,0,13.81,0,1.06,1.06,1.06,1.06,0,0,0,0,4.25,5.31
 96-106,0,1.09,0,0,0,3.28,0,1.09,19.67,0,0,3.28,6.56,0,0,0,0,0,1.09,10.93
108-118,0,5.36,0,0,0.77,3.06,0,2.3,13.79,0.77,6.13,0,1.53,0,0,0,0,0,1.53,4.6
120,0,0,0,0,0,1.96,1.96,0,19.6,0,1.96,3.92,3.92,0,0,0,0,0,0,1.96
