stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,2.46,18.88,0,9.03,2.46,0,0,0,0,0,0,0,22.98,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,39.48,0,15.31,40.28,0,4.03,6.45,0,0,0,0,3.22,0,0,13.7,0.81,0.81
 48-58,0.57,0,0,0,0,0,3.44,0,0,2.3,3.44,0,4.59,0,0,0.57,0,0,0.57,95.83,1.72,63.69,57.95,0,2.87,7.46,0,0,0,0.57,1.72,0,2.3,17.79,0,0
 60-70,0,0,0,1.96,0,0,5.89,0,0,0.98,3.93,0,5.89,0,0,0,0,0,0,132.51,0.98,90.3,68.71,0,0,7.85,0,2.94,0,0,0.98,0,3.93,2.94,0,0
 72-82,0,0,0.98,3.93,0,0,16.69,1.96,0,4.91,35.34,0,12.76,0.98,0,0,0,0,0,227.75,4.91,147.25,73.62,0,0.98,13.74,0,7.85,0.98,0,0.98,0.98,7.85,14.72,2.94,0
 84-94,0,0,0,6.37,0,0,24.43,0,1.06,1.06,33.99,0,18.05,0,0,1.06,1.06,0,0,148.69,11.68,140.19,72.22,0,0,14.87,0,7.43,2.12,0,1.06,0,8.5,12.74,1.06,0
 96-106,0,0,0,9.84,0,0,15.3,0,1.09,1.09,63.39,0,9.84,2.19,1.09,0,0,0,0,146.44,6.56,158.46,80.87,1.09,2.19,14.21,0,7.65,1.09,0,0,0,4.37,16.39,3.28,0
108-118,0,0,0,3.83,1.53,0,9.96,0,0,3.06,52.85,0.77,10.72,2.3,0.77,0,0.77,0.77,0,111.83,7.66,183.07,76.6,0,0.77,9.19,0,19.92,1.53,0.77,0,0,5.36,14.55,0,0
120,0,0,1.96,3.92,0,1.96,9.8,0,1.96,1.96,37.24,0,9.8,3.92,0,0,0,1.96,0,107.79,1.96,182.26,80.35,0,0,17.64,0,17.64,3.92,0,0,0,5.88,9.8,0,0
