stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,24.52,484.24,0,0,0,0,6.13,0,0,0,12.26,6.13,12.26,6.13,0,0
  7-9,0,5.26,2.63,0,18.4,0,2.63,0,0,0,136.69,2.63,44.69,0,0,0
 10-12,0,0,3.15,0,12.59,0,0,0,0,0,53.5,0,18.88,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
 24-34,0,0,0,0.82,0.82,0.82,0,0,0,0.82,4.93,0,0,0,0,2.46
 36-46,0,0,0,0,0.81,0,0,0,0,0,4.83,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,1.15,1.15,0,0,0,0,1.72
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
