stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,7,61,0,2,0,0,0,1,1,0,38,0,0,0,0,0,3,0,0,1,10,0,0,0,0,0,0,0,0,0,1,2,0,0,31,0,0
 24-34,0,0.82,10.67,11.49,0,2.46,1.64,0,0.82,3.28,0,0,88.65,0.82,0,0,1.64,1.64,13.95,0,0,6.57,63.21,0,1.64,0.82,0,0,0.82,0,0,0,1.64,16.42,0,0,102.61,0,1.64
 36-46,0,0,1.61,1.61,0,9.67,0.81,0,0.81,7.25,0,1.61,124.88,0.81,0.81,0,0,0,19.34,0,0,4.03,61.23,0,0,0,0,0.81,1.61,0.81,0.81,0,0,9.67,0,0,35.45,0,0
 48-58,0,0,0.57,1.15,0,22.95,0,0,0.57,17.21,0,2.3,135.99,0,0,0,0,0,16.64,0,1.15,1.72,52.79,0,0.57,0.57,0,0,0.57,0,0,0.57,0,12.05,0,0,21.8,0,0.57
 60-70,0,0,0.98,1.96,0,13.74,0.98,0,0.98,6.87,0,0,148.21,0.98,0,0,0.98,0,6.87,0,0,0.98,18.65,0,0,0,0,0,0.98,0,0,0,0,4.91,0,0,8.83,0,0
 72-82,0,0,1.96,5.89,0,24.54,1.96,0,0.98,7.85,0,0.98,260.14,0,0.98,0,0,0,13.74,0,0,0.98,45.16,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,10.8,0.98,0.98
 84-94,0,3.19,1.06,4.25,0,35.05,0,0,0,7.43,2.12,1.06,314.36,3.19,2.12,0,2.12,0,9.56,0,2.12,0,36.11,0,1.06,1.06,0,0,2.12,0,0,0,0,5.31,2.12,0,15.93,0,0
 96-106,0,0,2.19,18.58,0,28.41,1.09,0,0,10.93,1.09,0,439.32,2.19,0,1.09,0,0,16.39,1.09,2.19,1.09,42.62,0,2.19,0,0,0,3.28,0,0,0,0,1.09,1.09,0,25.14,2.19,1.09
108-118,0,0,1.53,5.36,0.77,20.68,2.3,0,0,8.43,1.53,0,354.64,0,3.06,0,1.53,0,14.55,0,0.77,1.53,42.13,0,0.77,0,0,0.77,3.06,0,0.77,0,0,0.77,0,0,21.45,0,0.77
120,0,0,5.88,11.76,0,7.84,0,1.96,0,0,0,0,460.55,0,0,1.96,0,0,5.88,0,3.92,5.88,43.12,1.96,0,0,0,0,5.88,0,1.96,0,0,5.88,0,1.96,17.64,0,0
