stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,9,0,0,7,90,1,0,0,1,0,0,2,34,1,26,87,76,0,0,0,0,0
 24-34,0,2.46,0.82,0,9.85,0,0,0,2.46,0,0.82,0,0,0,0,0,13.95,0,0,2.46,401.4,0,1.64,0.82,0,0,0.82,0,0,1.64,0,9.03,114.1,0,0,0.82,0,0
 36-46,0,0.81,0,0,12.09,0,0,0,10.47,0.81,0,0,0,0,0,0,5.64,0,0,3.22,698.52,0,0,0,0,0,0.81,0,0,0,0,0,127.3,0,0,0.81,0,0
 48-58,0,2.3,0,0,40.74,0.57,0,0,14.92,0,0,0,0,0,0,0,8.61,0,1.15,0.57,681.68,0,0,0.57,0,0,0.57,0,0,0,0,0,74.02,0,0,0.57,0,0
 60-70,0,0.98,0,0,104.04,0,0.98,0,29.45,0,0.98,0,0,0.98,0,0,13.74,0,0,0.98,1250.46,1.96,0,0.98,0,0,0.98,0,0,0.98,0,0,73.61,0,0,0,0,0.98
 72-82,0,5.89,0.98,0,188.48,0,0,1.96,59.88,1.96,0,1.96,0,0,0.98,0.98,20.61,0,1.96,1.96,1190.76,0,0,0.98,0,2.94,1.96,0,0,0,0,0,37.3,0,0.98,0.98,0.98,0.98
 84-94,0,3.19,1.06,1.06,108.33,0,0,1.06,35.05,1.06,0,1.06,0,0,0,0,18.05,0,2.12,1.06,618.11,1.06,0,0,0,5.31,4.25,0,0,0,0,0,33.99,1.06,1.06,2.12,0,0
 96-106,0,9.84,1.09,1.09,99.45,0,0,0,50.27,3.28,0,0,0,0,1.09,0,14.21,0,1.09,2.19,532.22,0,0,2.19,0,3.28,7.65,0,0,0,0,0,16.39,0,0,2.19,1.09,1.09
108-118,2.3,9.96,0,0,61.28,0,0,0,39.83,0,0,1.53,0,1.53,0,0,9.96,0.77,1.53,2.3,820.35,0,2.3,1.53,0,3.06,0.77,0,0,0,0,0,16.09,0.77,0,0.77,0,0.77
120,0,0,0,0,52.91,0,0,0,31.36,0,1.96,0,1.96,0,0,0,3.92,0,0,5.88,642.81,0,1.96,0,0,1.96,0,0,0,1.96,0,0,5.88,0,0,0,0,0
