stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,18.06,0,0,0,0.82,5.75,0,0,0,0
 36-46,0.81,0,4.03,0.81,0,0,0,0,0,49.95,1.61,0,0,0.81,9.67,0,0,0,0
 48-58,1.15,0,3.44,0.57,0.57,0,0,0,1.15,67.71,1.15,0,0.57,0,8.61,0,0.57,0,0
 60-70,0.98,0,10.8,0,0.98,0.98,0,1.96,0,123.67,0,0,1.96,0,10.8,0,0,0,0
 72-82,0,0,25.52,0,1.96,0,0,0.98,0,157.07,1.96,0.98,0,0,7.85,0.98,0,0,0
 84-94,0,1.06,20.18,0,3.19,0,1.06,1.06,0,66.91,0,0,1.06,0,4.25,0,1.06,0,0
 96-106,1.09,0,9.84,0,0,0,0,0,0,48.09,0,0,1.09,0,2.19,0,0,0,0
108-118,3.06,0,9.19,0,0,0,0.77,0,0.77,61.28,0,0.77,1.53,0,1.53,0,0,0.77,0.77
120,1.96,0,1.96,0,0,0,0,1.96,0,97.99,0,0,1.96,0,5.88,0,0,0,0
