stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,176.12,10.51,0,65.72,2.63,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,113.29,0,0,62.94,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,1.72,0,0,1.15,0,0,0,0,0,0,0,0,0.57,0,0,12.05,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0.98,0,0,1.96,0,0,2.94,0,0,0,0.98,0,0,0,0,0.98,0,0.98,24.54,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,4.91,0,0,5.89,2.94,0,0,0,0,0,0,0,3.93,0,0,34.36,0,1.96,0,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,4.25,0,0,5.31,1.06,0,1.06,5.31,0,0,0,1.06,0,0,0,2.12,0,0,26.55,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,5.46,1.09,0,4.37,13.11,0,1.09,2.19,1.09,0,1.09,1.09,1.09,0,0,28.41,0,0,0,3.28,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,2.3,0.77,0.77,1.53,0,0.77,7.66,18.38,0,0,0,1.53,0.77,0,0,2.3,0.77,0,41.36,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,0,3.92,0,0,1.96,17.64,0,0,1.96,0,0,0,0,5.88,0,0,35.28,0,0,0,0,0,0,0,0,0,0
