stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,0,0,1.64,0,0,1.64,0,0,0,0,2.46,0,2.46,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,2.42,0,0.81,12.09,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0.57,0,0,0,1.72,0,0,17.79,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,9.82,0,0,0,0,0,0,0,0,31.41,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,74.61,0,6.87,0.98,0.98,0,2.94,0.98,0.98,63.81,0,0,0.98,0,0.98,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,58.41,0,1.06,0,1.06,0,2.12,0,0,48.85,0,0,0,0,12.74,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,2.19,77.59,1.09,7.65,2.19,1.09,0,3.28,0,0,62.29,0,0,0,0,7.65,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,0,82.72,0,6.13,0.77,2.3,0,0.77,1.53,0,62.04,0.77,0,0,0,4.6,0,2.3,0,0,0.77
120,0,0,0,0,1.96,60.75,0,9.8,0,1.96,0,1.96,0,3.92,82.31,0,1.96,0,0,3.92,0,0,0,0,1.96
