stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,3,7,0,0,0,0
 24-34,0,0,0,2.46,20.52,0,0,0,0.82,0,0,3.28,0,0,0,0,0.82,0,0,9.85,0,0,0.82,28.73,0.82,0.82,0,0,6.57,4.93,0,0,0,0
 36-46,0,0,0,1.61,23.36,0,0,3.22,1.61,0,0.81,4.83,0,1.61,0,0,0,1.61,0,2.42,0,0,0,16.92,0,1.61,0,0,4.03,4.83,0,0,3.22,0
 48-58,0,0,0,0,18.94,0,0,0.57,5.74,0,0,4.59,0,0.57,0,0,0.57,0,0,1.15,0,0,0,10.9,1.15,0.57,0,0.57,2.87,2.87,0,0,1.15,0
 60-70,0,0,1.96,0,40.24,0,0,0.98,7.85,0.98,1.96,14.72,0,6.87,0,0,0.98,0.98,0,5.89,0,0.98,0,15.7,0,0,0,0,6.87,4.91,0.98,0,1.96,0
 72-82,0,0,4.91,0.98,45.16,0,0,3.93,4.91,0,0.98,28.47,0,2.94,0.98,0,1.96,0.98,0,2.94,0,0,0,20.61,0,0.98,0,0.98,3.93,3.93,1.96,0,0,0
 84-94,0,0,3.19,0,90.27,0,0,3.19,14.87,0,1.06,62.66,0,5.31,0,1.06,0,3.19,0,10.62,0,0,0,11.68,0,1.06,0,0,7.43,5.31,2.12,0,2.12,0
 96-106,0,0,4.37,1.09,71.04,1.09,2.19,5.46,10.93,0,1.09,51.36,0,6.56,1.09,0,0,6.56,1.09,4.37,0,0,0,13.11,0,0,0,0,8.74,3.28,9.84,0,0,1.09
108-118,0,0,0.77,1.53,60.51,0,0.77,3.83,21.45,0,0.77,58.98,0,4.6,0,0,0,3.06,0,6.89,0.77,0,0,20.68,0,0,0,0,6.89,1.53,17.62,0,0.77,0
120,0,0,1.96,0,62.71,0,0,1.96,17.64,0,0,37.24,0,13.72,0,0,1.96,5.88,0,3.92,0,0,0,11.76,0,0,0,1.96,9.8,0,3.92,1.96,0,0
