stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,446.87,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1398,1,0,5,0,3,0,1,1,3,0,28,0,1,1,0,1,7,0,2,35,1,2,0,0,0,88,1,1,1,6,8,0,0,0,0,0
 24-34,0,0,0,0.82,953.83,0.82,0,8.21,0,50.89,0.82,0.82,0,0,0,3.28,0.82,2.46,0.82,0,8.21,18.06,0,3.28,92.76,2.46,3.28,1.64,0,0,103.43,0,0.82,0,0.82,20.52,0,0,2.46,0,0
 36-46,0,0,0,0.81,649.37,0.81,0,12.09,0,99.9,0,2.42,0,0,0.81,3.22,0,11.28,0,4.03,2.42,11.28,0,1.61,97.49,0,4.03,3.22,0,0,100.71,0,0,0,0,40.28,0,0,0,0,0.81
 48-58,0,0,0,0,617.99,0,0,24.1,0,197.96,1.72,5.16,0,0,0,1.72,0.57,6.31,0,1.15,12.05,7.46,0,2.87,111.32,0,0,10.9,0,0,102.71,0,0,0.57,0,39.59,0,0,1.15,0,1.15
 60-70,0,0,0,0,757.73,0.98,0,39.26,0,217.9,2.94,5.89,1.96,0.98,1.96,2.94,0,8.83,0.98,0.98,12.76,13.74,0,1.96,174.71,0.98,1.96,11.78,0,0,247.34,0,1.96,0,0,42.21,1.96,1.96,0.98,0.98,1.96
 72-82,0,0,0,1.96,945.34,2.94,0,57.92,0,226.76,1.96,13.74,7.85,0,0,6.87,0,25.52,0.98,0.98,22.58,16.69,0.98,0,273.88,0,7.85,23.56,0,0,329.84,0,0,0,0,29.45,19.63,0.98,2.94,0.98,0
 84-94,1.06,0,0,4.25,1757.67,1.06,0,54.16,1.06,435.44,1.06,7.43,28.68,0,2.12,29.74,1.06,32.92,0,0,7.43,31.86,0,2.12,146.56,0,6.37,22.3,0,0,932.47,0,1.06,0,0,10.62,87.09,0,2.12,2.12,0
 96-106,0,0,1.09,10.93,2253.45,7.65,5.46,61.2,1.09,486.32,2.19,18.58,86.33,0,5.46,55.74,0,55.74,1.09,0,28.41,44.81,0,3.28,225.13,1.09,25.14,28.41,0,1.09,980.28,0,1.09,0,0,9.84,171.58,0,4.37,1.09,1.09
108-118,1.53,0,0.77,13.02,2098.74,5.36,2.3,40.6,1.53,623.49,3.06,20.68,121.02,0,0.77,68.17,2.3,45.96,1.53,0,14.55,37.53,3.83,2.3,245.11,2.3,9.96,23.74,0,0,693.96,0,4.6,0,0,12.26,204.51,0,2.3,3.06,1.53
120,3.92,0,0,3.92,1542.35,5.88,0,19.6,3.92,433.11,1.96,9.8,37.24,0,9.8,27.44,0,45.08,3.92,1.96,15.68,33.32,0,3.92,266.53,1.96,7.84,27.44,0,1.96,725.12,0,0,0,0,13.72,70.55,0,0,1.96,5.88
