stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,245.46,0,0,0
 14-21,0,1,347,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,1,0,5,0
 24-34,0,0,12.31,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,6.57,0,0,0,0.82,0,16.42,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,4.83,0,0,0,0.81,0,12.09,0
 48-58,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,1.15,0,9.18,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,1.96,0,0,0,0,7.85,0,0.98,0,0,0.98,0,14.72,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,1.96,0,5.89,5.89,0,14.72,0,1.96,0.98,1.96,0.98,0,42.21,0,0.98,0,0,0.98,1.96,0
 84-94,0,0,0,7.43,0,0,7.43,4.25,0,21.24,1.06,0,0,0,4.25,0,54.16,0,0,0,0,0,1.06,0
 96-106,0,0,0,6.56,4.37,0,9.84,9.84,0,46.99,0,2.19,0,1.09,3.28,0,81.96,0,0,0,0,0,0,1.09
108-118,0,0,0,17.62,1.53,0,9.96,9.96,0,26.04,0,2.3,0.77,0,3.06,0,50.55,0,0,0,0,0,1.53,0
120,0,0,0,7.84,0,1.96,3.92,13.72,1.96,27.44,0,1.96,0,0,0,1.96,50.95,0,1.96,0,0,0,0,0
