stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,67.43,190.02,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,36.78,6.13,0,0,0,12.26,0,0,0,0,0
  7-9,10.51,0,63.09,0,0,0,0,0,0,10.51,0,0,0,0,0,0,23.66,2.63,0,0,18.4,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,34.62,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,1,0,0,0,9,0,28,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,27.09,0,0,0,6.57,0,0,0.82,0,9.85,0,18.06,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,12.89,0,0,0,2.42,0,0,2.42,0,4.03,0,4.83,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0,4.02,1.72,0,0,1.72,0,0,2.87,0,1.72,0,0,1.15,0,0
 60-70,0,0,0,0,0,6.87,0,1.96,0,0,0,0,5.89,6.87,0,1.96,1.96,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,25.52,0,9.82,0,0,0,0.98,3.93,29.45,0,0.98,3.93,0,0,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,82.84,0,4.25,0,0,1.06,0,4.25,22.3,0,1.06,5.31,0,0,10.62,0,6.37,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,113.66,0,13.11,0,0,1.09,0,6.56,76.5,0,0,10.93,0,1.09,8.74,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,147.83,0.77,10.72,0.77,0,0,0.77,0.77,55.15,0.77,0,8.43,0,0,11.49,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,52.91,0,7.84,0,0,0,0,3.92,72.51,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0
