stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,0,0,0,0,0,1,7,23,0,1,0,0
 24-34,0,0,0,1.64,1.64,4.1,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,184.69,0,0.82,0,0,0,0,0,79.62,0,0,0,0
 36-46,0,0,0,1.61,0,17.72,0,0,0.81,0,0,0,1.61,0.81,0,0,2.42,0.81,0,0,376.25,0.81,1.61,0,0,0,0,0,134.55,0,0.81,0,0
 48-58,0,0,0,1.72,0,52.79,0,1.72,4.02,0,0,0,0,0,0,0.57,2.87,0.57,0,1.15,499.21,0,1.15,1.15,0,1.72,0,0,101.56,0,0.57,0,0
 60-70,0,0,0.98,1.96,0,103.06,1.96,0,4.91,0.98,0,0.98,0,0,0.98,0,4.91,0.98,0,0,815.64,0,1.96,0,0,0.98,0,0,159.99,0,0.98,0,1.96
 72-82,0,0,6.87,3.93,0,116.82,0,0,10.8,3.93,0,0,2.94,0.98,0,0,10.8,0,0,0.98,748.03,0,3.93,0.98,0,0,0,0,92.28,0.98,0,0.98,0.98
 84-94,0,0,2.12,2.12,1.06,103.02,1.06,0,9.56,1.06,0,0,0,2.12,0,0,5.31,0,2.12,1.06,330.29,0,4.25,0,0,0,0,0,35.05,0,1.06,0,0
 96-106,0,0,4.37,2.19,0,77.59,0,0,13.11,3.28,0,0,2.19,0,0,1.09,9.84,0,0,0,302.72,0,2.19,0,0,1.09,0,0,20.76,1.09,0,0,0
108-118,0,0,3.06,1.53,0.77,47.49,0,0,3.83,3.06,0,0.77,0,0,0.77,0,3.83,0,0,0,266.56,0,2.3,0,0,0.77,0,0,14.55,1.53,0,0,0
120,0,0,1.96,1.96,0,52.91,0,0,5.88,1.96,0,0,0,0,0,0,5.88,0,0,0,266.53,0,3.92,1.96,0,0,0,0,11.76,0,1.96,0,0
