stage,blastomeres,eye,fin_mesenchyme,immune,liver,mesenchyme,neural,notochord,olfactory,otic,pericytes,pronephros,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 48-58,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,3.93,0.98,0,0.98,0,0,0
 84-94,0,1.06,0,2.12,4.25,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,7.65,5.46,1.09,4.37,0,0,0,1.09,1.09,0
108-118,0,0,0,4.6,6.13,0.77,0.77,0,0.77,0,0,0,0
120,0,0,0,29.4,1.96,0,9.8,0,0,0,0,0,1.96
