stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,123.55,2.63,0,0,57.83,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,116.44,3.15,0,0,44.06,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,4,1,6,0,0,1,0,0,1,2,0,2,1,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,5.75,0,28.73,0,0.82,0,0,0,0.82,0,0,0,3.28,0,1.64
 36-46,0,0,0,1.61,0,4.83,0,0,0,0,0,0,0,0.81,0,3.22,0.81,24.17,0,0,0.81,0,0,0.81,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,4.59,0,0,1.72,0,0,0,0,0,0,2.87,0.57,12.62,0,0.57,0.57,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,1.96,0,2.94,0,0.98,3.93,0.98,0,0,0,0,0,2.94,0,10.8,0,0,0,0,0,0.98,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,0,5.89,0,0,0.98,0,0,0,0.98,0,0,3.93,0,16.69,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,1.06,2.12,0,4.25,0,0,0,0,0,0,0,0,0,3.19,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,1.09,0,0,0,1.09,0,0,0,5.46,1.09,3.28,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0.77,0,0.77,0.77,0,0,0,0,0,2.3,0.77,3.83,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
