stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,3,0,0,0,25,0,1,0,0,0,0,0,0,38,0,11,1088,1,1,0,1,0,0,0,4,0,0,6,478,0,0,1,0,0
 24-34,0,0,0.82,7.39,1.64,27.09,0,0.82,12.31,85.37,1.64,0.82,0,0,0,0,0,0,197.83,0,82.91,2888.59,3.28,9.85,9.85,0,0,2.46,0,0,0,1.64,18.88,1080.25,0,0,10.67,0,0.82
 36-46,0,0,0,7.25,0.81,76.54,0.81,0.81,24.98,219.95,0,0,0.81,0,0,0,0,0,353.69,8.06,149.85,3029.32,2.42,4.83,1.61,0,0,3.22,0.81,0.81,0.81,0,0,1529.16,0,0,4.83,0,0.81
 48-58,0,0,0,5.16,0,87.79,0,0,24.1,323.05,0,0.57,1.72,0,0,0,0,0,387.89,10.33,68.28,1161.38,1.72,2.3,2.87,0.57,0,2.3,0.57,0,0,0,0,911.2,0,1.72,2.87,0,0
 60-70,0.98,0,0,3.93,0,68.71,0,0,16.69,328.81,0,0,0.98,0,0,0.98,0.98,0.98,560.45,21.59,52.02,522.17,0,0,0,0,1.96,0,0,0,0,0,0,317.03,0,4.91,2.94,6.87,0.98
 72-82,0,0,0.98,9.82,0,87.37,0,0,32.39,368.12,0,0,0,0,0,0.98,0.98,0,685.2,14.72,59.88,331.8,1.96,0,8.83,0,0,0.98,0,0,0,0,0,108.96,0,8.83,6.87,21.6,0
 84-94,0,0,0,6.37,1.06,107.27,0,1.06,22.3,250.64,1.06,0,0,0,2.12,2.12,1.06,1.06,517.21,16.99,31.86,278.25,2.12,0,5.31,0,1.06,1.06,0,0,0,0,0,106.2,0,7.43,3.19,21.24,0
 96-106,0,0,0,6.56,1.09,45.9,0,0,14.21,199.99,2.19,0,0,0,1.09,0,1.09,0,407.63,6.56,21.86,209.83,0,3.28,3.28,0,3.28,1.09,0,0,0,0,0,69.94,0,3.28,2.19,22.95,1.09
108-118,0,0,0,3.06,0,35.23,0.77,0.77,14.55,190.72,1.53,0,0,0,0,2.3,0.77,0.77,366.9,3.06,15.32,278.81,2.3,3.06,6.13,0,0.77,2.3,0,0,0,0,0,32.17,3.83,0.77,2.3,15.32,0
120,0,0,0,5.88,1.96,56.83,0,0,15.68,160.7,3.92,0,0,1.96,0,1.96,0,1.96,270.45,7.84,19.6,280.25,0,0,5.88,0,0,0,0,0,0,0,0,47.03,1.96,1.96,3.92,9.8,1.96
