stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,14,0,0,0,0,0,0,8,0,16,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0,26.27,0,0,0,0,0,0,1.64,0,27.91,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0,0,0,0,0.81,0,1.61,0,16.92,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,0,0,3.44,0,0,0,0.57,0,0.57,0,0,0,1.72,0,0,22.95,0,0.57,0,0,0,0,0,0,5.16,0,0,1.15,0,0
 60-70,0,0,2.94,0,0,0,0,1.96,0,0,0,1.96,0.98,0.98,0,0,0,0.98,0,0,21.59,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0,13.74,0,0.98,0,0,8.83,0,0,0.98,2.94,2.94,0,0.98,0.98,0.98,13.74,0,0,41.23,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,11.68,0,0,0,1.06,2.12,0,0,0,2.12,5.31,0,1.06,0,0,3.19,0,0,8.5,0,0,0,0,3.19,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,20.76,0,6.56,0,0,4.37,0,0,0,5.46,9.84,2.19,0,0,3.28,6.56,1.09,1.09,24.04,0,1.09,0,0,0,1.09,2.19,1.09,0,0,1.09,1.09,1.09,0
108-118,0,0,16.09,0,0.77,0,0.77,9.19,0.77,0.77,0.77,2.3,9.19,0.77,0,0,0,7.66,0,3.06,36,0.77,0.77,0,0,3.06,0,1.53,0,0.77,0.77,0,0.77,0,1.53
120,0,0,17.64,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,5.88,3.92,0,1.96,39.2,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
