stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0,0,0.82,0.82,0,0,17.24,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0.81,0,0,23.36,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.02,0,0,0,4.02,0.57,0,0,0,0,0,0,10.33,0.57,0,0,0,0
 60-70,0,0,0,0,3.93,0,0,29.45,0,0,0,4.91,0.98,0,0,0,2.94,0,0,18.65,0,0,0,0,0
 72-82,0,2.94,0.98,0,5.89,0,0,111.91,0,0,0,8.83,1.96,0,0,0,21.6,0,0,26.5,0,0,0,0,0
 84-94,0,1.06,0,0,4.25,0,1.06,247.45,1.06,0,0,12.74,3.19,0,1.06,0,8.5,0,2.12,56.29,0,1.06,1.06,0,0
 96-106,0,4.37,1.09,2.19,16.39,1.09,3.28,369.38,0,0,1.09,51.36,3.28,0,1.09,0,36.06,2.19,1.09,43.71,0,0,0,1.09,1.09
108-118,0,1.53,1.53,0.77,19.15,0,1.53,412.85,0,0.77,0,91.92,2.3,0.77,0,0,42.13,0,2.3,42.13,0,0,1.53,0.77,0
120,0,0,3.92,1.96,13.72,0,1.96,190.1,0,0,0,62.71,1.96,0,0,0,27.44,0,1.96,25.48,0,0,0,0,0
