stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,631.35,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,18.39,0,12.26,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,15.77,0,0,39.43,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,170.87,0,0,0,99.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,53.5,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,31,3,12,0,0,1,1,1,0,0,0,0,0,0,9,0,0,5,70,0,2,2,4,0,1,17,0,8,16,0,0,0
 24-34,0,0,0,0,9.03,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0.82,8.21,0,0,0.82,27.09,0,0.82,1.64,0,0,4.93,0,0,1.64,4.1,0,0.82,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,1.61,4.03,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.72,0,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,6.89,0,0.57,1.15,0,0,1.72,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,19.63,0,0,0,2.94,0,0,0,0.98,0,0.98,0.98,1.96,0,0.98,1.96,13.74,0,1.96,1.96,0,0,3.93,0,0.98,0,1.96,0,0,0.98
 72-82,0,0,0,0,6.87,0,7.85,1.96,0,0,0.98,0,0.98,0.98,0,0,0,0,4.91,0,0.98,0.98,8.83,0,0,0.98,0,0,1.96,0,0,0,1.96,0.98,2.94,0
 84-94,0,0,0,0,12.74,0,6.37,1.06,0,0,2.12,0,0,0,1.06,1.06,1.06,0,4.25,0,0,0,6.37,0,0,3.19,0,1.06,4.25,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,0,3.28,2.19,6.56,0,0,0,0,0,0,1.09,0,0,0,2.19,4.37,1.09,0,0,12.02,0,2.19,2.19,0,0,9.84,0,0,0,0,0,2.19,0
108-118,0,0,0.77,0,4.6,0.77,3.83,0.77,0,0.77,1.53,0,0,0,0,0,2.3,0,7.66,0,0,1.53,5.36,0,1.53,0,0,0,5.36,0,0.77,0,0,0.77,0,0
120,0,0,0,0,5.88,0,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
