stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,18.4,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,197.15,5.26,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,12.59,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,245.46,3.15,0,0,84.97,0,3.15,3.15,9.44,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,10,3,1,0,0,1,0,0,0,0,0,0,10,0,5,79,3,0,1,4,0,1,0,4,1,1,10,32,0,0,0,0
 24-34,0,0,0,0,1.64,0,7.39,0.82,0,4.1,0.82,0.82,0,0,0,0,3.28,0,2.46,84.55,0.82,2.46,0.82,0,0,3.28,0,0,2.46,0,1.64,24.63,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,10.47,0,0,2.42,0,0.81,0,0,0,0,8.86,0,3.22,165.16,0,2.42,0.81,0,0,2.42,0,0,0,0,0,40.28,0,0,0,0
 48-58,0,0,0,0,0,0,18.94,0.57,0.57,2.87,0,0,0,0,0,1.15,8.03,0,1.72,116.48,0,1.72,0,0,0,0,0,0,0.57,0,0,26.4,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,46.13,0,0.98,4.91,0,0,0.98,0,0.98,0,11.78,0,0,142.32,0,2.94,0.98,0,0,0.98,0,0,0,0,0,27.48,0,0.98,0,2.94
 72-82,0,0,0.98,0,2.94,4.91,38.28,0,0.98,6.87,0,0,0.98,0,0.98,0,14.72,0,0.98,113.87,0,1.96,0,0,0.98,0.98,0,0,0.98,0,0,11.78,0.98,0.98,0.98,1.96
 84-94,0,0,0,0,2.12,5.31,23.36,1.06,1.06,7.43,0,0,0,1.06,0,1.06,8.5,0,0,64.78,0,2.12,2.12,0,0,2.12,0,0,0,0,0,7.43,1.06,0,0,0
 96-106,0,0,0,0,0,13.11,14.21,0,0,5.46,0,0,1.09,0,0,0,7.65,0,0,36.06,0,2.19,0,0,0,1.09,0,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0,0,6.13,10.72,0,2.3,2.3,0,0,2.3,0,0,0.77,6.89,0.77,0.77,45.96,0,1.53,0.77,0,0,1.53,0,0,0.77,0,0,2.3,0,0,0,0
120,0,0,0,0,3.92,9.8,9.8,0,0,7.84,0,0,0,3.92,0,1.96,5.88,0,1.96,48.99,0,1.96,5.88,0,0,0,0,0,1.96,0,0,3.92,0,0,1.96,0
