stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,845.89,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,24.52,0,0,0,24.52,18.39,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,26.29,0,0,42.06,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,349.62,10.51,0,0,139.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,12.59,0,0,62.94,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,4,3,6,0,0,0,1,0,0,0,0,0,0,0,4,0,4,96,3,1,1,0,0,13,1,1,8,34,0,0,0,1
 24-34,0,0,0.82,2.46,0,8.21,0.82,0,3.28,0,0,0,0,0,0,0,0,10.67,0,3.28,112.46,0,0,0.82,0,0,0,0.82,0,4.1,16.42,0,2.46,0,0.82
 36-46,0,0,0,0.81,0,15.31,0,0,4.03,0,0,0,0,0,0,0,0,8.86,0.81,2.42,68.48,0.81,1.61,1.61,0,0.81,0,0,0,0,19.34,0,0,0,0
 48-58,0,0,0,0.57,0.57,12.62,0,0,5.16,0.57,0,0,0,0,0,0.57,0,5.16,0.57,3.44,20.08,0,0.57,0,0,0,0,0.57,0,0,11.48,0,0.57,0,0
 60-70,0,0,0,0,0,12.76,0,0,5.89,0,0,0,0,0,0,0,0,14.72,0,0.98,12.76,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,3.93,0.98,0,0.98,0,0,0,0,0,10.8,0,0.98,20.61,0.98,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,5.31,0,2.12,1.06,1.06,0,0,1.06,1.06,0,0,0,8.5,0,1.06,7.43,0,0,0,0,2.12,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,6.56,0,0,3.28,1.09,0,1.09,0,0,0,0,1.09,7.65,0,0,6.56,0,0,1.09,0,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0,4.6,0,0.77,2.3,0,0,0,0,0,0,0,0,7.66,0,0.77,6.13,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,1.96,0,0,1.96,1.96,1.96,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
