stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,13.14,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,18.88,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,31,43,0,3,0,0,0,0,3,5,3,0,0,0,0,0,509,0,0,401,183,3,0,0,3,0,0,94,1,0,77,10,0,0,1,0,0
 24-34,0,0,1.64,18.88,4.93,0,13.13,1.64,1.64,32.01,3.28,1.64,3.28,14.78,0,0,1.64,1.64,0,1058.08,0.82,1.64,354.61,198.65,3.28,1.64,2.46,0,1.64,0.82,2.46,0,0,105.89,25.45,0,0,18.06,0,0.82
 36-46,0,0,0,8.06,0.81,0,8.86,0,0,81.37,2.42,0,0.81,15.31,0,0,0,0,0,1003.06,0.81,4.03,222.36,99.9,0,0.81,0.81,0,0.81,0,0.81,0,0,1.61,17.72,0,0.81,12.89,0,1.61
 48-58,0.57,0,0,8.03,1.15,0,32.13,0,1.15,102.14,2.87,0,8.03,10.33,0,0,1.15,0,1.72,1275.57,0,3.44,163.53,116.48,0,0.57,0,0,3.44,1.72,0,0.57,1.15,0,7.46,0,2.3,7.46,0,1.15
 60-70,0,0,0,8.83,0,0,23.56,0.98,2.94,113.86,1.96,1.96,4.91,7.85,0.98,0,1.96,1.96,0,1497.8,0,3.93,105.02,55.95,0.98,0.98,0,0,3.93,0.98,0,0,0,0,2.94,0,6.87,2.94,5.89,0
 72-82,0,0,0,10.8,0,0,65.77,1.96,2.94,169.83,12.76,0,0.98,3.93,0,0,0,0,0,1745.39,0.98,11.78,136.45,71.66,0,0.98,0,0,3.93,0,0,0,0,0,0.98,0,11.78,14.72,14.72,1.96
 84-94,0,0,0,13.81,0,0,109.39,1.06,0,138.06,13.81,1.06,4.25,5.31,1.06,2.12,2.12,0,0,1320.11,0,7.43,77.53,35.05,0,0,3.19,0,6.37,1.06,0,0,0,0,3.19,0,4.25,19.12,9.56,0
 96-106,1.09,0,0,19.67,2.19,2.19,74.31,3.28,5.46,111.47,17.49,1.09,0,5.46,1.09,0,0,1.09,0,1258.96,1.09,6.56,65.57,88.52,2.19,1.09,0,0,4.37,3.28,0,1.09,0,0,0,2.19,6.56,24.04,8.74,0
108-118,0,0,0,9.19,1.53,0,29.87,1.53,3.83,112.6,4.6,1.53,0,2.3,1.53,0,0,2.3,0,1108.35,0,5.36,60.51,42.13,0.77,0.77,3.06,0,10.72,1.53,0,0.77,0,0,2.3,0,3.83,12.26,4.6,0
120,0,0,0,7.84,1.96,1.96,29.4,0,0,99.95,3.92,0,0,1.96,0,0,1.96,7.84,1.96,791.75,0,1.96,41.16,48.99,1.96,0,0,0,7.84,0,0,0,0,0,5.88,0,5.88,21.56,3.92,1.96
