stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,6,7,0,3,3,0,0,5,1,2,1,1,65,0,0,0,0,0
 24-34,0,0,2.46,0.82,6.57,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0,0,0.82,1.64,0,0,3.28,13.95,4.93,5.75,1.64,0,0,4.1,0,3.28,9.03,0.82,58.28,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,2.42,2.42,0,0,2.42,0,0,0,0,0,0,0.81,0,0.81,2.42,0.81,0,2.42,10.47,13.7,10.47,0.81,0,0,2.42,0,4.03,6.45,0,38.67,0,0,0,0,0.81
 48-58,0,0,0,0,2.87,0,2.87,2.87,0,0,14.35,0,0,0,0,0,0.57,0,0,0.57,14.35,0,0,1.15,26.4,10.33,5.74,1.72,0,0,3.44,0,0.57,10.33,0,46.48,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,7.85,1.96,0.98,0.98,39.26,0,0,0,0,0.98,0,1.96,0,2.94,68.71,0,0,0,38.28,8.83,10.8,2.94,0,0,2.94,0,1.96,2.94,0,30.43,0,0,0,0,0
 72-82,0,0,4.91,0,8.83,0,7.85,6.87,0.98,0.98,78.53,1.96,0,0,0.98,0.98,0,0,0.98,0,111.91,0,0,1.96,43.19,22.58,10.8,1.96,0,0,0.98,0,1.96,0.98,0,39.27,0.98,1.96,3.93,1.96,2.94
 84-94,0,0,4.25,1.06,22.3,0,19.12,2.12,1.06,0,52.04,1.06,0,0,2.12,0,0,3.19,0,0,91.34,0,0,1.06,26.55,24.43,10.62,6.37,0,0,9.56,0,4.25,1.06,0,16.99,2.12,1.06,0,2.12,4.25
 96-106,0,0,2.19,1.09,40.44,0,18.58,7.65,2.19,0,67.76,8.74,0,0,1.09,0,0,4.37,0,0,80.87,0,1.09,7.65,20.76,20.76,7.65,9.84,0,0,12.02,0,2.19,3.28,0,24.04,7.65,0,6.56,7.65,2.19
108-118,0,0,0.77,0,44.43,0.77,10.72,6.89,3.06,0,53.62,7.66,0,1.53,3.06,0.77,0,0.77,0,0,70.47,0,0,3.83,22.21,33.7,6.13,4.6,0,0.77,12.26,0,3.83,2.3,0,21.45,8.43,0.77,3.06,2.3,3.06
120,0,0,1.96,0,29.4,0,9.8,7.84,3.92,3.92,45.08,0,0,0,1.96,1.96,0,0,1.96,0,86.23,0,0,1.96,33.32,21.56,3.92,9.8,0,0,7.84,0,0,1.96,0,15.68,5.88,0,3.92,7.84,1.96
