stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,47.32,2.63,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,18.88,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,4,0,1,20,0,0,2,1,2,2,0,0,6,0,0
 24-34,0,0,0,0,2.46,0,3.28,0,0,0,0,0,0.82,0.82,0,0,3.28,0,1.64,22.16,0,0,0,0.82,0,0,0,0.82,9.85,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0,0,12.09,0,0,0,0.81,1.61,0,0,0,4.03,0,0
 48-58,0,0,0,0,0.57,0,3.44,0,0.57,0,0,1.72,0,0.57,0.57,0,3.44,0,0,10.9,0,0.57,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,0,0,1.96,0.98,1.96,0.98,0,6.87,0,0,0,0,0.98,0.98,0.98,13.74,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,6.87,0,1.96,0,0,23.56,0,0,0.98,0,2.94,0,0,14.72,0,0.98,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,1.06,2.12,4.25,0,2.12,0,0,38.23,1.06,0,0,0,1.06,2.12,0,8.5,0,0,0,4.25,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,0,2.19,0,2.19,0,4.37,0,0,67.76,1.09,0,1.09,1.09,6.56,0,0,4.37,0,0,0,1.09,1.09,0,0,0,0,9.84,2.19
108-118,0,0,0,0,1.53,0.77,2.3,0,0.77,0,0,68.94,0,0.77,0,0,1.53,0,0.77,6.89,0,1.53,0,1.53,0,0,0,0,0,7.66,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,119.55,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,19.6,0
