stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,3.22,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,1.15,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0.57,0,0,0,4.59,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,3.93,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,6.87,15.71,65.77,37.3,0,0.98,0,14.72,1.96,0,0.98,0,0.98,2.94,0,1.96,0,33.38,0.98,0,3.93,103.07,0,1.96,1.96,0,0,9.82,0,0,1.96,0,0.98,3.93,1.96,0.98
 84-94,0,0,0,4.25,7.43,138.06,35.05,0,0,0,5.31,0,0,0,3.19,1.06,0,1.06,1.06,0,11.68,0,1.06,1.06,71.16,0,0,1.06,0,0,9.56,2.12,0,1.06,2.12,1.06,1.06,1.06,0
 96-106,1.09,6.56,0,120.21,97.26,313.65,251.35,8.74,18.58,10.93,106.01,22.95,0,8.74,46.99,13.11,7.65,17.49,48.09,1.09,260.1,14.21,9.84,36.06,573.74,5.46,20.76,19.67,0,10.93,184.69,1.09,0,13.11,8.74,6.56,36.06,16.39,12.02
108-118,0,3.83,1.53,153.96,68.94,649.54,517.79,6.13,39.06,21.45,180,39.06,0,5.36,47.49,17.62,29.87,11.49,43.66,10.72,410.56,13.02,13.02,62.04,1093.03,16.85,14.55,27.57,0,6.89,234.38,6.13,6.89,32.94,11.49,6.13,42.89,10.72,46.72
120,1.96,9.8,0,123.47,58.79,293.97,264.57,5.88,5.88,21.56,137.18,11.76,1.96,3.92,50.95,17.64,5.88,3.92,19.6,1.96,241.05,3.92,11.76,29.4,776.08,9.8,13.72,9.8,0,1.96,121.51,7.84,1.96,13.72,3.92,7.84,41.16,9.8,9.8
