stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,70.98,7.89,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603.52,5.26,0,0,241.84,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,207.7,18.88,0,3.15,0,94.41,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,3669.37,15.73,0,0,695.48,0,3.15,0,0,34.62,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,176,10,0,76,0,1,0,11,0,1,1,1,1,1,0,0,19,52,0,0,304,4813,9,0,4,112,0,3,0,151,4,4,1128,1598,0,0,0,0,22
 24-34,0,0,1.64,26.27,1.64,0,74.7,0,1.64,9.03,79.62,2.46,1.64,0,0,1.64,3.28,1.64,0,21.34,190.44,0,0,329.98,5622.04,4.93,4.93,4.1,0,0,9.85,0,5.75,0.82,2.46,145.29,1240.31,0,0,6.57,0,47.61
 36-46,0,0,0,6.45,0,0,27.39,0,0,8.06,260.23,0,0,0,2.42,1.61,4.83,0.81,0,6.45,312.6,0,0,156.3,4261.99,2.42,2.42,2.42,0,0,4.83,0,2.42,0.81,0.81,2.42,1156.94,0,0,3.22,0,14.5
 48-58,0,0,0,4.02,0.57,0,79.76,0,1.15,4.02,449.29,0,0,0.57,1.72,0,4.59,0,1.15,10.33,246.16,0,0.57,100.42,1797.16,0,1.72,0.57,0,0,2.3,0,0,0,0,0.57,700.62,0,0.57,0.57,0,4.02
 60-70,0,0,0,0.98,0,0,28.46,0,0,2.94,388.68,0,0,0.98,1.96,0,7.85,0.98,0,4.91,251.27,0.98,0.98,81.47,772.46,0.98,0,1.96,0,0.98,0.98,0,0,0,0,0,177.66,0,0,0,0,1.96
 72-82,0,0,0,5.89,2.94,0,78.53,0,0.98,3.93,407.39,0,0,0,0,0,6.87,0,0,4.91,282.72,0,0,98.17,531.08,0,0.98,0,0,3.93,2.94,0,0,0,0,0,49.08,0.98,0.98,0.98,1.96,0.98
 84-94,0,0,0,10.62,0,1.06,105.14,0,0,4.25,298.43,0,0,0,0,1.06,6.37,0,0,9.56,197.54,0,2.12,96.65,441.81,1.06,0,1.06,0,0,3.19,0,0,0,0,0,50.98,0,0,1.06,0,3.19
 96-106,0,0,0,12.02,2.19,0,59.01,3.28,0,3.28,266.65,0,0,0,3.28,0,15.3,0,2.19,6.56,180.32,0,1.09,90.71,331.13,0,0,2.19,1.09,3.28,1.09,0,0,1.09,0,0,9.84,0,0,0,0,5.46
108-118,0,0,0,3.06,1.53,0.77,29.87,0,0,0,218.3,0,0,0,3.06,0,32.17,0,0,7.66,154.72,0.77,0.77,72,412.85,0.77,2.3,0,0,0.77,0,0,0,0.77,0,0,8.43,0,0,0,0.77,9.19
120,1.96,0,0,9.8,1.96,1.96,37.24,0,0,0,219.5,0,0,0,0,0,23.52,0,0,1.96,117.59,0,0,68.59,364.52,0,1.96,1.96,0,0,1.96,0,0,0,0,0,7.84,0,0,1.96,0,3.92
