stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0,0,0,20.52,0,1.64,8.21,0,0,31.19,0,10.67,0,0,0,0,6.57,0,0,0,0,0
 36-46,0,1.61,0,4.03,0,0,0.81,0,0,29.81,0,0,7.25,0,0,94.26,0,20.14,0,0,0.81,0,15.31,0,0,0,0,0
 48-58,0,3.44,0.57,24.67,0,0,1.15,0,0,12.05,1.15,1.72,4.02,0,0,149.19,0,18.36,0,0,0.57,0,33.28,0,0,0,0,0
 60-70,0,3.93,0,82.45,0.98,0,0,0,0,19.63,0,0.98,4.91,0,0,388.68,0,24.54,0.98,0,1.96,0,35.33,0,0.98,0,4.91,0
 72-82,0,2.94,0.98,149.21,0.98,0,8.83,0.98,0,22.58,0,12.76,3.93,0.98,0.98,483.96,0,54.97,0,0,1.96,0,31.41,0,0,0.98,27.49,0.98
 84-94,0,6.37,3.19,117.89,0,0,11.68,0,0,20.18,0,4.25,10.62,0,1.06,275.07,0,50.98,0,0,1.06,0,19.12,1.06,0,1.06,29.74,0
 96-106,0,17.49,2.19,112.56,0,1.09,9.84,1.09,1.09,37.16,0,7.65,10.93,1.09,1.09,245.89,0,61.2,0,0,0,0,18.58,0,0,1.09,49.18,0
108-118,0,16.09,0.77,102.64,0,0,11.49,0,0,38.3,0.77,6.13,9.19,0,0,276.51,0.77,44.43,0.77,0,1.53,0,4.6,0.77,0,0,30.64,0.77
120,0,9.8,0,72.51,0,0,5.88,1.96,0,11.76,0,5.88,1.96,1.96,0,370.4,0,29.4,0,0,1.96,0,11.76,0,0,3.92,43.12,0
