stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,15.73,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,3,1,7,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,11.49,0.82,0,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0.81,0,8.06,0,0,0,0,0,6.45,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,5.74,0,0,0,0,0,2.87,0
 60-70,0,0,0,1.96,0,0,0,0,0,0.98,0,11.78,0,0,0,0,0,2.94,0
 72-82,0,0,0,2.94,0,0,0,0,0,0.98,0.98,2.94,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,0,0,5.31,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,3.28,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0.77,0.77,0.77,1.53,0,0.77,0,6.89,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
