stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,23.66,0,60.46,0,0,97.26,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,378.53,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,103.85,0,3.15,157.35,0,0,0,0,0,78.67,0,0,0,0,3.15,0,0,0,0,1683.63,6.29,0,0,53.5,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,127,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,391,1,0,0,0,1,0,1,0,5,51,0,0,0,0
 24-34,0,0,0,0,7.39,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,7.39,0,0,0.82,352.97,0,0.82,0,0,0.82,0,0,0,0,35.3,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,8.06,0,0,0.81,16.92,0,0,0,0,0,0,0,5.64,0,0.81,0,482.6,0,0,0,0,0,0,0,0,0,35.45,0,0,0,0.81
 48-58,0,0,0,0,4.59,0.57,22.95,0,0.57,0,31.56,0,0,0,0,0,0,0,5.16,0,0,1.15,448.72,0.57,0,0.57,0,1.15,0,0,0.57,0,18.36,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,99.13,0,1.96,0,23.56,0.98,0,0.98,0,0,0,0,6.87,0,0,1.96,408.31,6.87,0,0,0,0.98,0,0,0,0,7.85,0.98,0.98,0,0.98
 72-82,0,0,0,0,13.74,3.93,323.95,0,0,1.96,40.25,0,0,0.98,0.98,1.96,0.98,0,10.8,0,0.98,1.96,275.85,1.96,0.98,0.98,0,1.96,0,0,0.98,0,4.91,0.98,3.93,0,0.98
 84-94,0,0,0,0,11.68,1.06,157.18,0,2.12,3.19,35.05,0,0,0,1.06,0,0,0,6.37,0,0,1.06,189.04,10.62,0,1.06,0,1.06,0,0,0,0,4.25,0,0,2.12,0
 96-106,0,0,1.09,0,5.46,3.28,193.43,1.09,0,0,29.51,1.09,0,0,2.19,1.09,0,0,8.74,1.09,0,0,100.54,7.65,2.19,1.09,0,1.09,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,0,5.36,0.77,105.7,0,0,0,24.51,0,0,0,0,0,0,0,2.3,0.77,0,2.3,132.51,7.66,0.77,0,0,1.53,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,3.92,0,111.71,3.92,0,1.96,37.24,0,0,1.96,0,0,0,0,9.8,0,0,0,223.42,31.36,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0
