stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,0,6,0,0,0,0,0,0,0,4,1,5,0,0,0,0,21,0,0,0,0
 24-34,0,0,18.06,0.82,33.66,4.93,0,0,0,0,1.64,2.46,22.16,0,4.93,0,0,0,0.82,49.25,0,0,0,0
 36-46,0,0,0.81,3.22,18.53,10.47,0,0,0,0,3.22,0,58.81,0,0.81,0,0,0,0,41.89,0,0,0,0
 48-58,0,0,0,2.3,11.48,9.18,0,0.57,0.57,0,14.35,0,57.95,0,1.72,0,0.57,0,0,22.38,0,0.57,0,0.57
 60-70,0,0,0,6.87,6.87,5.89,0,0,0,0,64.78,0,45.15,0,0,0,0.98,0,0,6.87,0,0,0,0
 72-82,0,0,0,2.94,1.96,4.91,0,1.96,0,0,122.71,0,34.36,0,0,0,0,0,0,6.87,0,0,0,0
 84-94,0,0,0,4.25,2.12,0,0,1.06,0,0,100.89,0,18.05,0,1.06,0,0,0,0,6.37,1.06,0,0,0
 96-106,0,0,3.28,3.28,2.19,1.09,0,1.09,0,0,55.74,0,20.76,0,4.37,0,0,0,0,3.28,0,0,1.09,0
108-118,0,0,2.3,1.53,0,2.3,0.77,0,0,0.77,35.23,0,15.32,0,4.6,0,0,0,0,0.77,0.77,0,0.77,0
120,0,0,1.96,0,0,1.96,0,1.96,0,0,37.24,0,13.72,0,0,0,0,0,0,0,0,0,0,0
