stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,mesenchyme,neural,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,18.39,73.56,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,18,0,0,0,0,4,0
 24-34,0,0,0,0.82,0,0,0,0,58.28,0,0,0,0,4.93,0
 36-46,0,0,0,0,0.81,0,0,0.81,67.68,0,0,0,0,10.47,0
 48-58,0,0,0,0,0,0,0,0.57,29.84,0,0,0,0,2.3,0
 60-70,0,0,0,0,0.98,0,0,0.98,31.41,0.98,0,0,0,5.89,0
 72-82,0,0,0,2.94,0.98,0.98,0,0.98,27.49,0,0,0,0,2.94,0
 84-94,0,0,1.06,0,2.12,0,0,2.12,13.81,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,2.19,7.65,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,9.96,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0
