stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,36,0,0,0,0,0,0,3,0,3,19,0,0,0
 24-34,0,0,0,0.82,0.82,0,4.1,0,0,0,0,0,0,0,0.82,0,6.57,0,0,1.64,36.12,0.82,0,0,0,0,0,0,0,0.82,4.93,0,0,0.82
 36-46,0,0,0,0,1.61,0,11.28,0,0,0,0,0,0.81,0,0,0,2.42,0,0,3.22,28.2,0,0.81,0,0,0,0,0,0,0,12.89,0,0,0.81
 48-58,0,0,0,0,0,0,13.77,0,0,2.87,0.57,0,0.57,0,0,0.57,2.87,0,0,1.15,9.75,0,0,0,0,0,0,0,0.57,0,5.16,0,0,0.57
 60-70,0,0,0,0,0.98,0,6.87,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0,19.63,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,12.76,0,0,3.93,0.98,0,0,0,0,0,6.87,0,0,0,14.72,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,5.31,1.06,7.43,0,0,4.25,2.12,0,0,0,0,0,1.06,0,1.06,1.06,7.43,0,1.06,0,0,1.06,2.12,0,0,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,0,0,3.28,0,0,5.46,1.09,0,1.09,1.09,0,0,5.46,1.09,0,0,7.65,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0.77,0,6.89,0.77,0.77,5.36,0.77,0,0,0,0.77,0,3.06,0.77,0,0.77,17.62,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,3.92,1.96,0,7.84,3.92,0,0,0,0,0,7.84,0,0,3.92,19.6,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96
