stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,17,0,0,0,0,0,14,0,0,0
 24-34,0,3.28,1.64,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,46.79,3.28,0,0,0,0,11.49,0,0,0
 36-46,0,0.81,0,0,2.42,0,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0,0,62.84,13.7,0,0,0,0.81,6.45,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0,0,0,1.15,0,0,67.14,8.61,0.57,0,0,0.57,8.03,2.87,0,0
 60-70,0,0,0,0.98,2.94,0,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0,91.28,10.8,0,0,0,0,3.93,5.89,0,0
 72-82,0,1.96,0.98,0.98,12.76,0,0,0.98,18.65,0.98,0,0.98,1.96,0,0,0,3.93,0,0.98,142.34,10.8,0.98,0,0,0,4.91,28.47,0,0.98
 84-94,0,3.19,3.19,0,12.74,0,0,0,5.31,0,0,1.06,1.06,0,0,0,5.31,0,1.06,75.4,2.12,2.12,0,1.06,1.06,2.12,19.12,6.37,0
 96-106,0,1.09,0,0,31.69,0,0,1.09,3.28,1.09,0,0,0,0,0,0,4.37,0,0,69.94,13.11,6.56,0,1.09,1.09,3.28,15.3,5.46,0
108-118,0,2.3,1.53,0,14.55,0,0.77,0,6.89,0.77,0,0,3.83,0.77,0,0,1.53,0.77,1.53,82.72,11.49,2.3,0,0,0.77,3.83,19.15,6.13,0
120,0,3.92,0,3.92,9.8,1.96,0,1.96,11.76,0,0,0,3.92,0,1.96,0,3.92,0,1.96,121.51,7.84,0,0,1.96,0,1.96,21.56,1.96,0
