stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,73.6,13.14,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,22.03,0,0,0,0,0,0,0,0,3.15,0,0,0,91.26,3.15,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,2,20,0,0,0,1,0,0,0,3,10,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0.82,1.64,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0.82,8.21,0,0,0
 36-46,0,0,0,1.61,4.03,0.81,0,0,0.81,0,0,0,0,0,0,0.81,0.81,12.89,0,0,0,0,0,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,0,5.16,0.57,0,0.57,2.3,0,0.57,0,0,0,3.44,0,0,17.79,0.57,0.57,0,0,0,0,0,0,1.15,0,1.15,0
 60-70,0,0,0,0,8.83,0.98,0,0.98,1.96,0,0,0.98,0,0,5.89,0,0,18.65,0.98,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,6.87,0.98,0,0,2.94,0,0,3.93,0.98,0,7.85,0,0,12.76,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,0,4.25,1.06,1.06,0,2.12,0,0,1.06,0,0,0,0,1.06,4.25,0,1.06,1.06,0,1.06,1.06,0,0,2.12,0,0,1.06
 96-106,0,0,0,1.09,2.19,1.09,0,0,6.56,1.09,0,9.84,0,0,2.19,1.09,1.09,5.46,0,0,1.09,0,5.46,0,0,0,1.09,2.19,0,0
108-118,0,0,0,3.06,2.3,0.77,0,0,3.83,0.77,0,9.96,0,0.77,2.3,0,0,8.43,0,0,0,0,1.53,1.53,1.53,0,0.77,0,1.53,0
120,0,0,0,1.96,1.96,0,0,0,1.96,1.96,0,9.8,1.96,0,1.96,0,1.96,3.92,0,1.96,1.96,0,3.92,0,0,0,1.96,0,1.96,0
