stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,38,0,0,0,0,0,5,2,1,0,7,11,0,0,0,0,0
 24-34,0,0,0,8.21,0.82,0,13.13,1.64,3.28,0.82,1.64,0.82,0,0.82,1.64,3.28,0.82,0,0.82,2.46,9.03,1.64,0,10.67,88.65,0.82,0,0.82,0,0,36.94,0,2.46,8.21,4.93,18.88,0,0,4.1,0,0
 36-46,0,0,0,5.64,0,0,12.89,7.25,1.61,0.81,4.83,0,0.81,0.81,0.81,2.42,0.81,0,0,0.81,10.47,0,0.81,3.22,74.93,0.81,0.81,0.81,0,0,12.09,0,0.81,4.83,1.61,20.14,0,0,3.22,0,5.64
 48-58,0,0,0,4.02,0,0,41.89,12.62,1.72,1.15,6.31,0,0,0.57,2.3,0.57,1.15,1.15,0.57,1.72,16.07,1.15,0.57,4.02,58.53,0,0.57,0,0,0,9.18,0,0.57,11.48,0,11.48,0,0,2.87,0,5.16
 60-70,0,0,0,2.94,0,0,76.56,10.8,1.96,0.98,23.56,2.94,0,0,0.98,2.94,0.98,0,0.98,0.98,22.58,0,0.98,5.89,53,0.98,0.98,2.94,0,0,5.89,0,0,16.69,0,10.8,0,0.98,0.98,0,1.96
 72-82,0,0,0,1.96,0.98,4.91,78.53,4.91,1.96,1.96,23.56,0.98,0,1.96,3.93,1.96,0.98,1.96,0,0,40.25,0,2.94,6.87,80.5,0.98,3.93,3.93,0,0,17.67,0,1.96,4.91,0,4.91,0,0.98,7.85,0,2.94
 84-94,0,0,0,13.81,0,9.56,61.6,4.25,5.31,1.06,16.99,5.31,0,1.06,6.37,8.5,0,1.06,1.06,3.19,25.49,1.06,1.06,5.31,39.3,1.06,1.06,3.19,0,0,39.3,0,0,19.12,0,8.5,0,0,2.12,2.12,2.12
 96-106,1.09,0,1.09,10.93,4.37,9.84,57.92,6.56,2.19,1.09,14.21,5.46,0,0,2.19,6.56,1.09,1.09,5.46,1.09,26.23,0,2.19,6.56,39.34,0,3.28,4.37,0,0,56.83,0,2.19,17.49,0,4.37,0,1.09,10.93,3.28,2.19
108-118,0,0,0,31.4,0.77,29.11,42.13,11.49,6.13,1.53,10.72,3.06,0,0,8.43,6.89,2.3,0.77,9.19,4.6,31.4,2.3,1.53,8.43,37.53,0.77,1.53,5.36,0,1.53,25.28,0,3.06,29.11,0,2.3,0.77,0,2.3,1.53,5.36
120,1.96,0,0,52.91,3.92,7.84,56.83,11.76,11.76,1.96,17.64,9.8,0,0,3.92,3.92,1.96,3.92,7.84,0,23.52,0,0,0,64.67,0,0,9.8,0,1.96,29.4,0,9.8,3.92,0,3.92,1.96,0,7.84,0,0
