stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,5,0,11,0,1,0,1,1,0,2,0,0,0,0,0,0,18,0,13,73,0,0,0,0,0,0,1,0,21,15,57,0,0,4,0,0
 24-34,0,0,0,0.82,4.93,1.64,0,42.68,0,1.64,0,7.39,0,0,3.28,0,0,0.82,0,0,0.82,68.13,0,61.56,377.59,0.82,1.64,3.28,0,0,3.28,0,0,1.64,6.57,128.87,0,0,34.48,0,0
 36-46,0,0,0,0,0.81,0,0,33.03,0.81,0,4.03,11.28,0,0,8.06,0,0,0.81,0.81,0,0,142.6,0.81,39.48,946.66,0,1.61,1.61,0,0,1.61,0,0,0.81,0,183.69,0,0,20.14,0,0.81
 48-58,0,0,0,0,4.59,0,0,102.14,3.44,0.57,7.46,30.99,0.57,0,2.3,0.57,0,1.15,0,1.15,1.15,206.57,2.3,51.64,1348.44,0,0.57,0.57,0,0,0.57,0,0.57,0,0,200.26,0,1.72,26.97,0,2.3
 60-70,0,0,0,0,4.91,0.98,0,148.21,1.96,0,4.91,22.58,0.98,0,3.93,0,0,0.98,0,0,0,220.84,4.91,33.37,1180.77,0.98,2.94,1.96,0,0.98,1.96,0,0,0,0,136.43,0,4.91,23.56,1.96,0.98
 72-82,0,0,0,0,3.93,0.98,0,116.82,0,0,19.63,30.43,1.96,0,3.93,0.98,0.98,0.98,0,0,0,255.23,4.91,36.32,799.07,0,0.98,1.96,0,1.96,0,0,0,0,0,50.06,0,8.83,58.9,10.8,0
 84-94,0,0,0,0,3.19,1.06,0,114.7,1.06,0,4.25,16.99,1.06,1.06,3.19,2.12,2.12,0,0,0,0,148.69,5.31,21.24,322.86,0,1.06,4.25,0,0,2.12,0,0,0,0,23.36,0,6.37,36.11,15.93,0
 96-106,0,0,1.09,0,7.65,1.09,0,59.01,1.09,0,8.74,9.84,0,0,2.19,0,0,0,4.37,1.09,0,149.72,7.65,27.32,277.58,0,2.19,3.28,0,4.37,0,0,0,0,0,12.02,1.09,1.09,51.36,14.21,0
108-118,0,0,0,0,1.53,1.53,0.77,49.79,0,0,4.6,18.38,0,0,3.83,1.53,0,0,1.53,0.77,0,127.15,3.83,13.79,256.6,0,0.77,2.3,0,0.77,0.77,0,0,0,0,9.19,0,2.3,38.3,6.89,0.77
120,0,0,0,0,15.68,1.96,0,62.71,0,1.96,3.92,13.72,0,0,0,0,0,0,0,0,0,103.87,0,15.68,350.8,0,1.96,13.72,0,0,0,0,0,0,0,1.96,0,1.96,41.16,11.76,0
