stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0,2.46,0,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0,9.67,0,3.22,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,33.28,0,1.15,2.3,0,5.74,0,0,0.57,0
 60-70,0,0,0,114.84,0.98,5.89,1.96,0,2.94,0,0,0,0
 72-82,0,0,0,116.82,0,13.74,2.94,0,7.85,0,0,0,0
 84-94,0,0,1.06,110.45,1.06,6.37,4.25,1.06,5.31,0,0,0,0
 96-106,0,0,0,120.21,0,8.74,1.09,0,5.46,0,0,0,0
108-118,0,0,0,88.09,0,8.43,0.77,0,3.83,0,0,0,0.77
120,0,0,1.96,90.15,0,0,3.92,0,5.88,0,0,0,0
