stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,13,9,0,0,1,0,1,2,4,0,0,4,10,0,1,0,0
 24-34,0,4.1,0.82,0,5.75,0,2.46,1.64,0,4.1,0,0,0,0.82,0,4.93,0,0,2.46,41.86,76.34,0.82,0,0,0,3.28,0,0,0,0,0,12.31,0,0.82,0,0
 36-46,0,5.64,0,0,9.67,0.81,1.61,1.61,0,3.22,0.81,0,0,0,0.81,16.92,0.81,0,3.22,39.48,117.63,0,0.81,0,0,3.22,0,0,0,0,0,12.09,0,0,0,0.81
 48-58,0.57,1.72,0,0,17.21,0.57,6.31,5.16,0,2.3,0,0,0,0,0,39.02,0,0.57,5.16,43.04,89.51,0,0.57,0,0,1.72,0,0,0,0,0,15.49,0.57,0.57,0,0
 60-70,0,0.98,0,0,12.76,0,10.8,2.94,3.93,1.96,0.98,0.98,0,0,0,86.37,0,0.98,5.89,58.89,61.84,0,0,0,0.98,2.94,0,0,0.98,0,0,3.93,3.93,0,0.98,0.98
 72-82,0,4.91,0,0,18.65,0,3.93,3.93,2.94,1.96,0,0,0,0.98,0.98,91.29,0.98,4.91,6.87,44.17,43.19,0.98,1.96,0,0,0.98,0,0,0.98,0,0,4.91,3.93,0,8.83,0
 84-94,1.06,5.31,0,0,10.62,0,5.31,2.12,6.37,1.06,0,1.06,1.06,0,3.19,47.79,2.12,3.19,4.25,30.8,74.34,0,1.06,0,1.06,6.37,0,0,0,4.25,0,1.06,5.31,0,7.43,1.06
 96-106,0,2.19,0,0,10.93,0,3.28,0,10.93,4.37,0,0,0,1.09,1.09,74.31,0,3.28,2.19,27.32,37.16,0,1.09,0,3.28,1.09,0,0,0,4.37,0,3.28,10.93,0,12.02,0
108-118,0,3.83,1.53,0.77,6.89,0,3.06,0.77,14.55,1.53,0.77,0.77,0.77,0,3.06,53.62,1.53,3.06,2.3,22.98,30.64,0,0.77,0,3.06,3.06,0,0,0,4.6,0,0,3.06,0,11.49,0
120,1.96,5.88,0,0,3.92,0,5.88,1.96,17.64,1.96,1.96,0,0,0,5.88,43.12,1.96,1.96,3.92,31.36,27.44,0,0,0,3.92,0,0,0,0,1.96,0,0,7.84,0,7.84,0
