stage,endoderm,eye,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,olfactory,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,2.63,2.63,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,2,2,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,14.78,0,4.93,0,0
 36-46,0,0,0,0,0,0,0,0.81,8.86,0.81,1.61,0,0
 48-58,0,2.3,0.57,0,0,0,0,0,4.02,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,3.19,2.12,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0
