stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,24.52,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,7.89,0,0,0,5.26,0,0,0,0,99.89,5.26,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0.82,7.39,0,0.82,0,0,2.46,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,2.3,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0
