stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,liver,mesenchyme,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,1.61,0.81,0,0,0,0,0,2.42,0,0.81,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0,1.96,0
 72-82,0,0.98,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,1.09,0,1.09,0,0,1.09
108-118,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0
