stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,1,0,0
 24-34,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,11.49,0,0,0.82,2.46,0,0,0,2.46,1.64,0
 36-46,0.81,0,1.61,0.81,0,0,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0,4.83,0,0,0,1.61,2.42,0
 48-58,0.57,0,0.57,0.57,0,0,0,0.57,1.15,0,0,0,2.87,0.57,0.57,9.18,0.57,0.57,0,0,0,0.57,0,0.57,2.3,0.57
 60-70,0,0,2.94,0,0,0,0.98,0,0.98,0,0,0.98,1.96,0,0,11.78,0,0,0,5.89,0,0,0,0.98,1.96,0
 72-82,0.98,0,2.94,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,8.83,0,0,0,1.96,0,0,0,0,5.89,0
 84-94,2.12,0,2.12,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,3.19,0,0,0,0,4.25,0
 96-106,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,5.46,0
108-118,0,0,1.53,0,0,0,0,0,1.53,0,0.77,0,0.77,0,0,0.77,0,0,0,1.53,0,0.77,0,0,2.3,0
120,3.92,1.96,1.96,0,3.92,0,0,0,1.96,1.96,0,0,1.96,0,1.96,1.96,0,0,0,5.88,0,0,0,0,1.96,0
