stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,833.63,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,18.4,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,370.65,10.51,0,0,134.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,34.62,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,16,1,3,0,0,4,0,0,0,0,0,0,0,0,6,0,8,109,0,0,1,2,0,0,0,12,1,0,10,27,0,1,0,0
 24-34,0,0,0.82,0,1.64,0.82,13.95,0,0,5.75,0,0,0,0.82,0,0,0,0.82,5.75,0,5.75,184.69,2.46,0.82,1.64,0,0,1.64,0,0,0,0,2.46,40.22,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,45.12,0,0,7.25,0,0,0,0,0.81,0.81,0,0,12.89,0.81,4.83,222.36,1.61,1.61,0,0,0,0.81,0,0,0,0,0,54.79,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,53.94,0,2.3,5.16,0,0.57,1.15,0,0,0,0,0,20.08,0,2.3,117.63,0,0,0,0,0.57,0,0,0,0,0.57,0,15.49,0,1.15,0,1.15
 60-70,0,0,0.98,0,0.98,0,47.11,0,0,5.89,0,0,0,0,0,0,0,0,14.72,0,0.98,91.28,0,0,0.98,0,0,0.98,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0,0.98,46.14,0,0,4.91,0,0,0,0,0.98,0,0,0,8.83,0,3.93,48.1,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,20.18,1.06,2.12,5.31,0,0,0,0,1.06,0,1.06,0,12.74,2.12,2.12,21.24,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,3.19,0,1.06
 96-106,0,0,0,0,0,0,25.14,2.19,1.09,3.28,0,0,0,0,1.09,0,0,0,12.02,0,2.19,36.06,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,0,1.53,0.77,22.21,0,0.77,3.06,0,0,0,0,0,0,0,0,6.89,0,0.77,22.21,0,0,0,0,0,0.77,0,0,0,0,0,1.53,0,1.53,0,0
120,0,0,0,0,0,3.92,13.72,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,31.36,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
