stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,459.72,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,0,0,0,9.44,0,37.76,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,84,0,0,3,0,0,0,0,0,0,0,0,105,0,0,0,0,13,0,0,25,0,1,1,1,0,437,1,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,27.91,0.82,0,5.75,0,0.82,0,0,0,0.82,0,0,132.16,0.82,0.82,0,3.28,36.94,0,2.46,49.25,0.82,18.06,0,0,0,523.71,0,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,16.92,0,0,5.64,0,4.03,0,0.81,0,0,0,0.81,38.67,0,0.81,0,3.22,14.5,0,2.42,49.95,0,12.09,0,0,0,416.53,0,0.81,0,0,4.83,0,0,1.61,0,0.81
 48-58,0,0,0,0,24.67,0,0,6.31,0,4.02,0.57,2.87,1.15,0,0,0,36.15,0,0,0.57,4.02,18.94,0.57,1.15,41.31,0.57,15.49,0,0,0,421.17,0,2.87,0,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,31.41,0,0,11.78,0.98,6.87,0,6.87,0.98,2.94,0,0,35.33,0,1.96,1.96,11.78,8.83,3.93,0,32.39,0,10.8,0.98,0,0,425.98,0,1.96,0,0,6.87,1.96,0,0,0,0
 72-82,0,0,0,0,92.28,0.98,0,15.71,0,6.87,0.98,22.58,11.78,0,0.98,0.98,93.26,0,0,1.96,20.61,30.43,2.94,0.98,36.32,1.96,11.78,0.98,0,0,683.24,0,2.94,0,0,2.94,3.93,0,3.93,2.94,0
 84-94,0,0,0,0,158.24,1.06,0,7.43,0,38.23,1.06,4.25,15.93,1.06,1.06,1.06,154,1.06,0,10.62,13.81,33.99,2.12,0,16.99,0,32.92,2.12,0,1.06,1679.08,0,1.06,1.06,0,2.12,20.18,3.19,3.19,0,1.06
 96-106,0,0,1.09,0,206.55,4.37,1.09,19.67,1.09,45.9,1.09,15.3,34.97,0,3.28,1.09,159.56,2.19,3.28,1.09,18.58,39.34,2.19,2.19,54.64,1.09,39.34,1.09,0,1.09,1594.46,0,0,0,0,0,19.67,0,1.09,4.37,1.09
108-118,0,0,0,0.77,173.11,0.77,1.53,7.66,0.77,43.66,0,6.13,25.28,0,0,1.53,147.83,0.77,0,10.72,11.49,42.13,0.77,1.53,35.23,0,25.28,0,0,0,1362.65,0,0,0,0,1.53,29.87,0.77,2.3,1.53,0.77
120,0,0,0,0,150.9,0,0,3.92,1.96,56.83,0,7.84,13.72,0,0,0,70.55,0,1.96,1.96,9.8,25.48,0,1.96,47.03,0,15.68,1.96,0,1.96,821.15,0,0,0,0,0,17.64,1.96,0,0,0
