stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,3,4,0,0,0,1,0,0,0,0,0,0,4,0,1,40,1,0,0,0,1,5,0,0,6,16,0,1,0
 24-34,0,0,0,1.64,0,19.7,0,0,2.46,0,0,0.82,0,0.82,0,0,13.95,0,2.46,101.79,0.82,1.64,4.1,0,0,0,0,0,1.64,23.8,0,0.82,0.82
 36-46,0,0,0,0,0,12.09,0,0.81,2.42,0,0,0,0.81,0,0,0,7.25,0,1.61,48.34,0,0.81,0.81,0,0,0,0,0,0,11.28,0,0.81,0
 48-58,0.57,0,0,2.3,0,14.35,0,0.57,7.46,0.57,0.57,0.57,0,0,0,0.57,4.59,0,0,37.87,0,0,0.57,0,0.57,0,0,0,0,3.44,0,1.15,0
 60-70,0,0,0,2.94,0,18.65,0,0,7.85,0,0,0,0.98,0,0,0,6.87,0,0.98,44.17,0,0,0,0,1.96,0,0,0.98,0,6.87,0.98,0,0
 72-82,0,0.98,0,0.98,0,16.69,0,0,2.94,0,0,0,0.98,0,0.98,0.98,7.85,0,0,19.63,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,3.19,1.06,11.68,1.06,0,2.12,0,0,0,2.12,1.06,0,0,3.19,1.06,0,11.68,0,0,1.06,0,3.19,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,8.74,0,1.09,1.09,0,0,0,2.19,0,0,0,3.28,0,1.09,3.28,0,0,0,0,10.93,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,3.06,0,0,1.53,0,0,0,0,0,0,0,2.3,0.77,1.53,13.79,0,0,0,0,2.3,0,1.53,0,0,0.77,0,0,0
120,0,0,0,1.96,0,5.88,1.96,0,1.96,0,0,0,3.92,0,0,0,1.96,0,0,37.24,0,0,0,0,0,0,0,0,0,0,0,1.96,0
